,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26,Topic 27,Topic 28,Topic 29,Topic 30,Topic 31,Topic 32
ENSG00000114861,273.43956062071686,442.3069988050357,421.81700745154046,334.87634763603774,377.09431086097067,159.8279368731426,339.2066552265714,398.08730949364445,335.8437196448806,449.27931211945923,417.7889342825584,333.09548387824503,291.4277458382539,416.7829203118222,434.33243486580983,392.1897286047646,560.6620089786139,409.59881948573593,277.99943304059184,389.41382607055067,366.8227310670077,357.82315882609726,312.73903130695777,323.86652026628957,436.240650708814,386.0454497918078,522.8157377070274,357.1068132992879,485.1914848464999,495.1682438485178,452.7242989215587,357.21588131292896
ENSG00000137166,648.3364046988502,592.9007150236273,746.4094195119096,877.4712968699696,678.3361954369282,315.4659467846882,769.0528636619887,944.3532234751169,916.25874435467,689.3579079291482,750.6145930643479,768.4597365216201,663.4201958715701,558.7469556871968,573.5125576477548,456.3476945995979,573.0105548226442,709.7383780392299,581.4061489115754,613.1558257677763,721.8031907394859,550.2662084489771,816.4009126930837,511.41387175788026,897.5579271447218,434.4535925355266,595.1809884673637,671.4381606352287,455.5404468959115,545.311860496879,730.2901939350959,624.8570860098861
ENSG00000109920,1370.2985799351052,1571.8488104469911,1815.7050710711708,2070.9164287332223,1441.0390379380267,2457.1254394159,1478.4429750594898,1380.9589586375193,1563.905172728566,1057.3002665001484,1617.508597751223,1928.4867937596346,1720.7787984183701,2422.1184457192403,2249.426465471121,1598.5543911488023,1631.5286538822895,1503.8636394450182,1065.8103796231096,2074.293158782433,1289.0457490594367,1063.2305658664056,1344.014114404482,1798.1657607689992,1351.7485680982272,1006.2144451133364,1694.1059173560643,1587.9868389750366,1485.9838107153016,1399.4265523513895,1719.9060302365701,1672.5539979158284
ENSG00000189283,79.63731258037912,77.61170530445911,121.4077803641177,104.07001031664309,83.03822571236691,100.44254711840566,80.12323263300627,128.52181593332054,117.55680994223601,92.82104717524622,92.82454788172804,122.00474232924077,79.18565743846754,98.27591723235298,75.78782715044615,121.03358051492073,75.27807576440078,92.30157382879769,83.20406488139218,67.2885949141106,117.33341404724031,62.170001268781974,103.93389135255465,73.3930646009732,94.7809383655648,85.73729977525404,72.73164972831826,97.05338027087278,114.2362203797011,79.34515258809742,80.07069462008097,108.64962900886395
ENSG00000075539,245.9068297813489,306.23711111938667,340.09567211284246,353.9181815951446,233.68208934101216,305.1811674380359,250.9765965556703,287.1613228803656,390.682770163545,324.05354850403324,331.6533715490117,323.13963729764856,331.3504694179334,332.7340972493226,330.03404710726886,369.40131452527595,285.1701951971954,375.09652574197406,231.92417245744537,404.1239698336454,333.6220134555766,359.1222988541399,296.8679739803917,296.0135982901624,305.49742434557066,310.0988806428413,302.60538461693903,314.1043170042643,352.91161626913714,296.4906328596432,285.715093437741,349.935770494592
ENSG00000073910,271.92381318451396,257.93671201964634,333.815133804718,381.9472262814308,304.4690428470523,264.5727632168713,309.3004574236173,547.0354568594432,341.49009352987224,366.6038643238849,452.1789239225738,396.7354348976055,279.3529910872135,316.3739487303741,357.46861887049545,487.8969775724366,447.0633388155979,575.6092139062747,359.3099781051671,376.91694478597555,421.74016162144454,278.01950590224453,299.5977773819774,397.6843686021224,407.1683654731568,317.35686975152817,319.55267328086774,376.8477208493124,390.1538558183423,583.016631661955,299.8151786791974,383.5739955238349
ENSG00000068438,563.7144425211948,502.5334234355444,700.5646248483981,794.5295313866874,662.0871738928179,677.0737250303024,567.2299480023833,819.4032582329157,629.6647055942087,522.5816391573215,707.9483178030766,620.532944241941,711.4591516181814,607.4897195662411,501.119795868668,852.2973780820223,600.8538341777378,685.0545414741246,685.2042566949914,574.9918052619144,855.364056266883,523.1880553654779,912.088204570242,571.5537727312824,625.051460950628,823.6951587782384,521.36332493442,605.1398932248495,597.7982773611626,637.9257670922619,697.9283065544926,778.0810662681291
ENSG00000254685,180.72410611770653,209.8030560469751,233.58369087467176,265.11175557665797,196.66682630768204,188.98322214760967,221.62609795846245,170.52584798999422,191.58126386223938,216.0762749594431,260.20577625418696,229.9133067930651,156.6361326118769,217.40708041474198,206.40424566634866,189.69019568996143,233.95666612647466,147.9217907919899,132.88029592319074,120.71177099201381,228.67419963121506,166.79104827253386,197.7008741173214,190.48221690384142,238.843861736454,183.6543694678795,184.56306392209692,208.36655720671345,215.4522933925841,220.0076459432543,209.79189025955546,205.44282564665272
ENSG00000172728,70.55443011053796,99.50713704769456,81.26180617532066,74.10676864191099,97.29248498783326,276.5713962490908,79.85958490019446,98.14835040408467,82.9759474091912,103.85124267535838,86.52423158628599,91.32656100884265,91.20759806711705,103.57730460403653,143.2457244489061,87.47681700601215,76.88363385619382,109.75298923749745,78.6243617433125,46.47877992877927,99.66546827203321,81.04997188829502,74.83752902830003,120.05877572152718,104.47058199921341,85.04442309976065,97.09384648364687,41.79380193790487,83.47345251776406,106.03214966537774,92.3371788054256,77.88815490501369
ENSG00000106692,137.1528235695515,191.79419077823755,134.77850503604282,214.70838961858723,204.28766256060172,232.96978233288527,238.6702938312884,179.36177767283866,165.66333342853594,194.99089904542933,186.80866469539558,190.6342077423045,160.86779729037787,170.71164771799965,246.47772827654038,211.35930347758514,216.55801696703276,172.63329929698068,144.61487454568365,190.7315331442982,233.2921534798905,223.75734814661683,105.25806270058901,238.7527105096125,261.28595954134005,181.07205890175086,198.75653612048347,137.55904069409522,189.40729888181832,219.83452129347796,181.6554371041541,221.4232247268961
ENSG00000091483,1489.4458350480352,2208.360049340833,2417.418195575956,2582.599800924469,1433.4982885116167,1314.7976240856499,2560.004230166375,2590.6485900926637,2239.6201758808966,2119.643975562753,2505.50588379572,1946.8860887599012,1696.8862460780867,2191.775450240544,1636.86171817688,2054.7395805032993,2147.5788341744014,2322.97049451994,2572.6353019457542,2527.1171027723885,1262.6404171999131,3293.7339280802107,3132.1690863460803,1615.5921591056695,1829.8630806869537,2443.41219514587,2155.0293255679917,1810.3259899196285,2136.411463732435,1874.8841095861449,2610.3942893939866,1896.4078118137636
ENSG00000115042,412.7933361036591,311.25653063771307,346.4139206789784,430.68708427040906,466.5983288895227,438.78801800983956,333.2237602308093,477.4994509663699,381.6318341705521,422.25363705165825,487.4861739026571,278.6115224637937,521.7870369858218,469.2674463596457,489.643270574553,361.4892273538641,379.1845788332281,489.99772987961245,323.7180409882055,444.6363499307637,473.29578938520706,405.98144357507175,391.6965498296754,382.74483684699476,466.8855093803391,348.9686825053681,401.6221367922588,391.6744812987868,299.4050161332168,441.86315167569853,428.9862163226268,385.63598450782723
ENSG00000144199,469.6211622613017,492.17301215525583,294.2921583772414,313.848209822807,318.8988625333032,450.83081935826203,338.6066870371173,275.33695914769004,335.4827653362322,363.858914070668,405.11306042888225,338.4187295376292,534.0602550552005,397.01718283782236,481.4280858581463,357.45685247214533,435.4446872682535,381.13761357511834,376.3347280141751,445.05009326161564,393.24249618225844,446.6879322433449,461.6520363713465,241.03246308284878,322.58066959592037,410.8856628615281,551.1133970646217,424.14500635230934,448.8144656487882,411.3675379525096,274.5535220828563,408.1665127793303
ENSG00000140564,2474.9605647297894,2165.5018922474615,1848.0851593327016,1802.7820924402686,2029.0596211199208,3133.2297138998047,2422.773456841115,2839.8191682665374,1985.3291454368125,2232.9009684947846,2036.818778083816,2311.976003671885,1990.4119091045225,1333.5925595743038,1453.711539735722,1762.2516254825596,1849.7962954906295,1947.4209664247837,2008.746147683125,1722.0875705912897,2058.2391191173215,1539.847644522494,2497.88620472264,2191.830136204516,2046.0226231493266,2197.1422613096674,1739.0582273090224,3648.502358119101,2198.7840646615086,2257.714492805433,2605.0207173597346,1994.5672535375804
ENSG00000089280,2750.4848670584947,1467.0270779891493,2228.0517797677335,2982.6734101034167,1689.6581375031142,2285.1414843341245,2416.3892238838503,1718.1702418642378,2012.0928410260212,2657.9685004222283,3096.5465909162367,2033.175600302336,2696.15847372984,2310.849759236823,1910.5985096243671,2433.163613329,1957.8314104832648,1891.1615946418083,2339.915796137174,1577.8442733025595,2427.791622348961,2232.85492555897,2136.5638721487626,2163.267390944041,1995.7899423109436,2460.4923604016417,2847.7956601781507,2385.2488056040706,1803.1453601929957,1746.242268024054,2011.4532883728073,2869.4572517805213
ENSG00000139132,220.10657663063466,251.14943125546205,247.3395228084952,300.2494531432076,258.17246558176913,342.6462213817184,205.89374690585618,285.9764604182856,225.48985516613453,277.15077691145655,208.99213752241525,276.15118781812697,232.6198212450427,227.80823647244668,213.5183581413267,241.10785504581335,255.93019785046368,180.9225096531996,269.1478776032669,211.5848520553012,188.19659043060824,188.77312285203644,316.0514588214719,278.3738427844653,235.63737639593327,234.9917052909795,257.85000708381943,267.63758943767345,282.50204121226653,272.33904632151047,244.48975260454634,271.9678174145633
ENSG00000180263,119.13112515535435,106.85456050595712,119.87804885294155,136.88747920068556,129.87538438882268,527.7502283371538,71.83685987567009,112.23782111758703,111.69006948732417,105.87662355677017,89.0410036888868,121.0368876664858,133.4724875265207,158.79417153975436,181.7113446563041,101.02470123413669,107.36470488220984,106.01935470836226,79.95431703582166,83.78021512018009,122.01629013058708,107.51614226628911,122.02522734189972,163.20924613752692,154.21613725646344,97.3967406538222,80.22328362852548,96.7533572138776,110.30169383606444,138.1132479818337,107.8783359867142,107.5360277262334
ENSG00000134697,451.74316152869056,574.1384204429688,521.6161033266047,442.7749580916054,497.219155157675,792.8767850687077,431.74148511423516,570.2029356376586,641.6007537330796,438.94846681548523,488.6861370894856,498.7282015422245,601.876109361525,492.83212755273547,516.1411696581702,555.5865850555651,527.6394927832653,555.6502451951395,390.34367996277376,639.8236511094757,663.2420377468127,521.4786728832106,550.0695505319944,361.290634583753,433.8473862941797,377.6652937407328,504.8766996932296,597.8825882126438,378.3555906870273,484.23107741944364,606.2808519652963,527.7616355789573
ENSG00000163938,1348.371296956495,1311.7370159266422,1931.5776514950624,2019.265116209203,1833.4421214442407,2359.3897779952986,1747.8204697976814,1711.3224307470684,1593.5353636083996,1597.0473370778502,1244.7169510711988,1713.3655875398636,2033.6649053540896,1171.7450321322551,2139.4771976655557,1695.6839860632647,1668.1648687549498,1673.5824623884637,1309.8463993219393,1575.4864804588851,1303.9218733278165,1827.47172607113,1802.138492024196,1849.4582217938598,1565.1307649950975,1514.3811670696512,1710.9607504730006,1107.8652320080841,1636.1040872159667,1868.6448464813457,2371.225196661497,1146.9869710916792
ENSG00000130119,171.30961312262863,152.0584459691049,192.99364015371253,239.1453100189961,151.989809295793,175.94663315560442,210.67260373101914,206.90631267712814,223.63382227839566,207.92833037596233,153.4766556762683,122.26041068200121,185.41865712096248,187.8595409424039,193.93073498474692,240.21283027377612,193.96071427956323,143.93331899491517,182.03678229035933,154.75213145911792,200.41610981373088,204.37427078967895,169.75607088025095,190.98375378241863,194.9627138590454,122.79277040251462,173.4638778579398,208.64993747873814,175.01860243262973,167.74840918769803,198.4333653513381,193.30370894648362
ENSG00000120063,1256.5774784694413,813.5044171445664,1023.9832461356531,854.538592689275,790.4224308541293,455.97745817006523,700.826634695174,1092.2836430546836,981.180569928187,1028.9470869347672,846.4164322324384,885.7661243483007,914.341655449604,885.0397813111414,788.0581450647203,878.419469488775,925.9949162916707,843.8499119040185,952.3735474721235,1170.6189686264793,779.4378287373406,996.7477482827712,914.7491297650957,688.4174538717381,1023.9721627649276,875.1148556082712,1257.3614879282168,1395.9663582905962,808.6263078194282,1106.2823369132116,756.0904786336739,750.3300936471387
ENSG00000065135,166.98849513179138,242.028075725379,159.55439328846762,193.014427597963,216.57320335715235,451.96616923698144,139.29091894994517,158.57819727874394,219.08894803101998,218.60058323922883,150.9112123218494,158.15421679787852,156.55912638299503,161.34404141332652,193.34608389237545,207.5694236890992,192.37291373449372,149.72477211698228,234.2460502013956,158.51422445034254,203.32131892318674,103.74733562295339,211.89609016611237,288.56314533897546,278.0869219375179,220.96205509645057,210.86852733562353,207.89377470008696,143.48671903994028,229.82783974308768,228.04914190255158,160.88178201863963
ENSG00000156052,688.0480491787224,1223.4832310731013,1149.9568279860894,1171.7485513976935,610.3125281535375,238.40079579802426,1391.4373648657506,960.948524998966,650.1112970947651,988.4775742529905,1274.9716175249903,849.1904017586068,777.5625681897081,818.9989751031322,831.1970879523737,650.9285385111482,1299.0592477674743,864.6323534466238,842.1841131824096,825.2628424749934,1311.765044572762,817.7241988078704,840.7040588455068,719.9685348654432,904.0754723424556,904.7199866861505,1035.0986978626395,964.7000507545479,1101.4354017860485,871.4376346164611,891.8173172199835,823.4396802969284
ENSG00000172354,6863.0418118235875,5262.110962704662,5545.140738768438,6030.603179921613,5120.530777729006,9158.040661511555,6066.249137619322,6008.168576160137,5233.919468573978,6735.937092695393,4633.172958604272,6202.948811445207,3939.034698158843,5684.509109819707,5725.321576561305,5091.156564945197,5253.075122550461,4875.071949808746,7877.524306744491,6007.525637611984,5444.429496564652,6520.8499480381715,7652.422328883674,6910.596675867644,6617.3642303864835,6158.719681273782,6285.775468606655,11404.781228231735,6032.2717349160275,6366.44563814282,6551.406329366123,7129.209522470127
ENSG00000125734,1418.175279515436,1578.1415733704082,1419.5315117269922,1510.5126588851838,1559.2439044411276,1375.0591301685613,1157.5529219684672,1420.4692698499068,1444.2997702747782,1229.1077774005046,1692.5047031002648,1114.228710369454,1482.1186523655033,1178.9328162445852,1554.8423960640873,1458.4348677792925,1614.3762171690876,1204.3930224280286,1552.245119657648,1202.3666394139277,1727.8900677199126,1495.3775268372667,2143.0607826821106,1640.8366288247034,1439.2677557077845,1997.1355585252584,1073.5519696956042,2071.171974857913,1508.180672262626,1370.2782772097685,1400.4866085615913,1888.085424304377
ENSG00000163328,232.42201878573758,207.09330535823946,214.98250700637445,265.6504352413704,220.85471789917307,239.44203637085795,205.1221561093139,279.2931674662673,203.07461621900973,215.66808781651036,190.58460517975726,246.69299090634505,157.19712255839715,270.3993857202232,176.15675049277348,253.8562841267564,244.36618879644868,213.99699409009693,290.0754427420187,178.25811594319964,244.86317990689508,265.5765923605628,199.11617924530404,191.88751737880978,233.84029941491397,260.59570403834005,241.76594427781836,263.2403711939805,229.84511821493066,190.77405240903565,270.82968667962643,399.4960251413921
ENSG00000152749,83.3620677907749,98.22036121057967,108.7061751067681,132.707835878155,142.84107198651597,34.60045016628642,142.9403789367985,105.9695739428532,120.1524457704623,127.43859264167952,92.61336098972974,102.92970108022492,119.69642529731222,157.72810875739282,112.0744919272289,94.49058668302528,119.46480277273963,138.70688437858414,93.62990342493688,124.7859547569776,106.73008911261829,165.1169548710923,118.792351941469,93.3491584081615,138.26500618755082,90.19414960319041,117.36939212330381,100.32348582566168,107.34959991782554,113.25740928678312,113.80681833522766,79.0700411860316
ENSG00000152133,203.34512426258428,222.69823103571358,281.1727252078239,174.01562808023579,311.3727526033868,125.96889814113506,216.25145884491744,216.24685489654388,249.53051695472232,194.59234220435533,227.7749594138864,231.8169322820141,173.56654929074796,224.48775184418082,209.95430563042675,211.5026567788774,340.27107612674996,211.50866858518995,205.98028958652807,275.412227209859,245.38302871301946,291.0624394789504,211.69753800595436,199.74722094294046,250.63930747746628,319.6248564273594,230.21344029392225,196.0024365817464,245.9591701571348,238.78237761289563,267.3793100766843,251.18131181979984
ENSG00000160818,784.9316288415433,942.2424680438445,1173.4392546621405,866.4391785226177,1000.5516627875566,729.8782354657008,946.2085060057587,1032.9761161128304,1178.6904247270434,1052.3399938524872,814.7019774434536,740.5186111503125,998.4844834883496,1266.004013959921,771.2912243626679,973.7314045296171,876.2157402627697,910.0949735965223,1110.885960394625,1272.6759133476012,1259.9413944634512,1092.3265681818318,1003.6682844158594,611.5835740624507,936.5121978932552,752.9863650143913,954.6325634697575,1382.1296949046202,1023.0294044029383,1358.5338874975907,765.8439703657191,881.8372747274975
