,primary_site,status,dataset,tissue_hd,dataset_status
TCGA-J4-A83I-01A-11R-A36G-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-HC-7750-01A-11R-2118-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-EJ-5512-01A-01R-1580-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-KC-A4BR-01A-32R-A32Y-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-EJ-8469-01A-11R-2403-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-YL-A9WK-01A-11R-A37L-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-J4-8200-01A-11R-A29R-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-EJ-7788-01A-11R-2118-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-EJ-5510-01A-01R-1580-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-CH-5744-01A-11R-1580-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-VP-A872-01A-11R-A352-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-ZG-A9N3-01A-11R-A41O-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-V1-A9OF-01A-11R-A41O-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-HC-8256-01A-11R-2263-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-EJ-5509-01A-01R-1580-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-XK-AAJU-01A-11R-A41O-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-CH-5768-01A-11R-1580-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-J4-AATZ-01A-11R-A41O-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-EJ-7782-01A-11R-2118-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-CH-5767-01A-11R-1789-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-V1-A9O5-01A-11R-A41O-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-G9-A9S7-01A-11R-A41O-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-EJ-5517-01A-01R-1580-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-VP-A87E-01A-31R-A352-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-YL-A9WL-01A-11R-A41O-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-YL-A9WX-01A-21R-A41O-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-EJ-5505-01A-01R-1580-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-VN-A88O-01A-11R-A352-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-YL-A8SK-01B-21R-A37L-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
