"","x"
"GTEX-1B8KZ-0626-SM-73KWE",1
"GTEX-1JMPZ-2026-SM-C1YR8",2
"GTEX-11I78-1426-SM-5PNVY",1
"GTEX-13O21-0826-SM-5J2NU",1
"GTEX-1J8QM-0826-SM-CJI2P",1
"GTEX-1RAZA-1426-SM-EV79H",1
"GTEX-N7MS-1126-SM-3LK5E",1
"GTEX-1QP67-0826-SM-EVR46",1
"GTEX-ZGAY-1226-SM-DO92W",1
"GTEX-WRHK-0426-SM-4MVOG",1
"GTEX-15FZZ-1326-SM-6PANN",1
"GTEX-WHSB-0526-SM-4M1XM",1
"GTEX-1KANA-0526-SM-DIPF9",1
"GTEX-11LCK-1626-SM-5PNYB",1
"GTEX-1NV8Z-1426-SM-DTX91",1
"GTEX-1LB8K-1326-SM-CXZKB",2
"GTEX-12WSA-1426-SM-5EGJU",2
"GTEX-VJYA-0626-SM-4KL1S",1
"GTEX-146FR-0426-SM-5SI97",2
"GTEX-X3Y1-1226-SM-4PQZ8",1
"GTEX-XV7Q-1026-SM-4BRVR",1
"GTEX-15UKP-2026-SM-6LPIC",1
"GTEX-15RIF-0826-SM-6M47C",2
"GTEX-RNOR-1226-SM-48FDQ",2
"GTEX-14BIL-1826-SM-7DUEO",1
"GTEX-11LCK-1726-SM-5S2OQ",2
"GTEX-RTLS-1226-SM-46MUP",1
"GTEX-1HT8W-2026-SM-CNNQC",1
"GTEX-1EU9M-2326-SM-7MKGS",2
"GTEX-111CU-0626-SM-5EGHL",1
"GTEX-1LVAN-2326-SM-CNNPY",2
"GTEX-1LG7Y-1626-SM-D4P24",1
"GTEX-1HCU8-2226-SM-9WPOV",2
"GTEX-1R9JW-1626-SM-E76QK",1
"GTEX-145MO-1226-SM-5QGPC",1
"GTEX-U3ZH-1726-SM-3DB79",1
"GTEX-13D11-2726-SM-5K7V7",1
"GTEX-1B97J-0526-SM-793C2",1
"GTEX-T8EM-0426-SM-4DM7E",1
"GTEX-13YAN-1526-SM-5LU3E",1
"GTEX-QDVJ-0626-SM-48U1T",1
"GTEX-S7SE-0526-SM-2XCD8",1
"GTEX-11DXZ-0426-SM-5987Y",1
"GTEX-17F9E-1226-SM-7EWDG",1
"GTEX-1JKYN-0226-SM-ARL9H",1
"GTEX-Y5LM-0226-SM-4VBRM",1
"GTEX-1QAET-0526-SM-EYYXF",1
"GTEX-12WSN-2726-SM-5LZUK",1
"GTEX-WHSE-1126-SM-3NMBU",1
"GTEX-1JK1U-2326-SM-CNPOV",1
"GTEX-13O3O-1126-SM-5KM4Q",1
"GTEX-18QFQ-0526-SM-718AV",1
"GTEX-13FH7-0326-SM-5J1MR",1
"GTEX-1AYCT-0326-SM-73KVN",1
"GTEX-13OW8-1826-SM-5L3H1",1
"GTEX-18D9A-1626-SM-7LG5Q",1
"GTEX-ZG7Y-2326-SM-DO92L",1
"GTEX-14E7W-0526-SM-5S2W8",1
"GTEX-WY7C-2826-SM-3NB3Q",1
"GTEX-1I1GP-0926-SM-COH3O",1
"GTEX-1HB9E-0926-SM-COH3D",1
"GTEX-1R9PN-0226-SM-DTX84",1
"GTEX-13FTY-0426-SM-5IJC2",1
"GTEX-ZTX8-1826-SM-5N9E5",1
"GTEX-QESD-0326-SM-47J4F",1
"GTEX-QEL4-1126-SM-DLZQ4",1
"GTEX-ZLV1-1926-SM-5FQSF",1
"GTEX-12WSK-0426-SM-5GCNS",1
"GTEX-1C6WA-0426-SM-7PC2C",1
"GTEX-VUSH-0526-SM-3NB2J",1
"GTEX-U8XE-0626-SM-3DB8U",1
"GTEX-13RTJ-2626-SM-7DHKR",1
"GTEX-QEG4-0926-SM-4R1JO",1
"GTEX-1IDJC-0426-SM-B2LW1",1
"GTEX-SIU8-0426-SM-4BRUE",1
"GTEX-14ICL-1826-SM-5RQIY",1
"GTEX-1GZ4H-0726-SM-9WG6X",1
"GTEX-1OFPY-1126-SM-E8VNV",1
"GTEX-XOT4-0426-SM-4B66T",1
"GTEX-13FH7-0426-SM-5KM4M",1
"GTEX-13FXS-1126-SM-5IJBB",1
"GTEX-QV44-0626-SM-4R1KJ",1
"GTEX-1LNCM-0326-SM-DIPF5",1
"GTEX-ZYT6-0826-SM-5E43I",1
"GTEX-1I1GU-1926-SM-ADEHK",1
"GTEX-1269C-2826-SM-5EQ5O",1
"GTEX-1A8G7-0426-SM-731B5",1
"GTEX-12WSN-0326-SM-5GCP6",1
"GTEX-QLQW-1526-SM-2S1QV",1
"GTEX-Y5V6-2826-SM-4VDSF",1
"GTEX-1JMQI-0226-SM-ARZN3",1
"GTEX-ZVT2-2626-SM-51MTD",1
"GTEX-ZPU1-0526-SM-4YCDA",1
"GTEX-13RTK-0126-SM-5RQHQ",1
"GTEX-15ER7-1426-SM-6PAMA",1
"GTEX-XMK1-2526-SM-4B666",1
"GTEX-1J8Q3-1026-SM-CGQED",1
"GTEX-1CB4F-0726-SM-793AO",1
"GTEX-1M4P7-0426-SM-DKPQG",1
"GTEX-14C38-1226-SM-5S2UK",1
"GTEX-ZPIC-0326-SM-DO91U",1
"GTEX-1MUQO-0426-SM-E9J2Z",1
"GTEX-O5YU-0726-SM-EV792",1
"GTEX-13VXU-1926-SM-5LU5J",1
"GTEX-1N2EF-0326-SM-EYYXC",1
"GTEX-1GL5R-2126-SM-9WYTK",1
"GTEX-1R9PO-2526-SM-EVYBT",1
"GTEX-1RDX4-0526-SM-EAZ44",1
