Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9
GTEX-13X6I-0011-R4b-SM-5PNU9,GTEX-S95S-1226-SM-4GICG,,,GTEX-1PPGY-0926-SM-DTXFF,GTEX-1497J-0005-SM-5NQBD,,,
GTEX-1IKK5-0011-R8b-SM-CJI45,GTEX-R55G-2526-SM-2TC6D,,,GTEX-14XAO-0926-SM-69LPZ,GTEX-U3ZN-0006-SM-3DB7Y,,,
GTEX-1C6WA-3026-SM-7P8RQ,GTEX-P44H-0226-SM-2XCEU,,,GTEX-1CB4I-1526-SM-7DHMY,GTEX-1HSKV-0006-SM-ARZL9,,,
GTEX-16NPV-0011-R9b-SM-79ONF,GTEX-1O9I2-0226-SM-EYYXD,,,GTEX-XQ8I-0226-SM-4BOPM,GTEX-16NPX-0005-SM-7MKGG,,,
GTEX-1HR9M-0011-R10a-SM-CM2SU,GTEX-11H98-0126-SM-5EGHG,,,GTEX-11EM3-0426-SM-5N9BZ,GTEX-131XG-0006-SM-5O9CE,,,
GTEX-13RTJ-0011-R3a-SM-5PNX7,GTEX-WXYG-2026-SM-4E3IY,,,GTEX-Y5V5-0726-SM-4VBPY,GTEX-QESD-0006-SM-2I5G6,,,
GTEX-13FHP-0011-R5b-SM-5LZY2,GTEX-145MI-0526-SM-5O9A8,,,GTEX-15RIE-1726-SM-7KUMU,GTEX-1CB4H-0006-SM-A96RE,,,
GTEX-131YS-0011-R11b-SM-5EGLM,GTEX-1MCC2-1826-SM-DIPEX,,,GTEX-145MN-0626-SM-5QGRH,GTEX-POMQ-0006-SM-5SI7D,,,
GTEX-14LLW-0011-R5b-SM-5ZZU6,GTEX-WHSB-0426-SM-4M1XI,,,GTEX-14BIL-1126-SM-79OMC,GTEX-1J8Q2-0006-SM-CNNOZ,,,
GTEX-1JMPZ-0011-R3a-SM-EYYWX,GTEX-1KANA-0626-SM-D4P3I,,,GTEX-QV44-0526-SM-2S1RE,GTEX-14PJ4-0006-SM-7RHFY,,,
GTEX-13G51-0011-R11b-SM-5J2NE,GTEX-14E1K-1226-SM-5S2PD,,,GTEX-14E1K-0826-SM-5ZZW9,GTEX-X4XY-0006-SM-46MV2,,,
GTEX-ZF28-0011-R8a-SM-4WWFW,GTEX-13FTW-1626-SM-5KM4N,,,GTEX-ZAB5-0226-SM-5CVMH,GTEX-1RAZA-0006-SM-CKZO9,,,
GTEX-1HBPI-0011-R8a-SM-A9G1S,GTEX-132Q8-1826-SM-5EGIY,,,GTEX-1B996-1126-SM-73KWN,GTEX-1I6K7-0005-SM-ARL72,,,
GTEX-12WSM-0011-R1a-SM-5LZW6,GTEX-1J8QM-1926-SM-AHZ3Z,,,GTEX-1GZ2Q-0926-SM-7RHHN,GTEX-1IGQW-0005-SM-CMKFR,,,
