,Topic 1,Topic 2,Topic 3,Topic 4
ENSG00000180185,0.0010017,0.00100073,0.000998839,0.00100039
ENSG00000053770,0.00100169,0.00100073,0.000998842,0.00100039
ENSG00000090776,0.00100168,0.00100072,0.000998849,0.00100039
ENSG00000279672,0.00100167,0.00100195,0.00099203,0.000996393
ENSG00000112159,0.00100167,0.00100072,0.000998856,0.00100039
ENSG00000127980,0.00100166,0.00100071,0.000998863,0.00100038
ENSG00000266028,0.00100165,0.00100071,0.000998867,0.00100038
ENSG00000108064,0.00100164,0.0010007,0.000998876,0.00100038
ENSG00000153574,0.00100162,0.00100069,0.000998888,0.00100038
ENSG00000155561,0.00100162,0.00100069,0.000998891,0.00100038
ENSG00000204305,0.00100161,0.00100069,0.000998894,0.00100038
ENSG00000204946,0.00100161,0.00100068,0.000998899,0.00100037
ENSG00000166133,0.0010016,0.00100068,0.000998905,0.00100037
ENSG00000104472,0.00100159,0.00100068,0.000998908,0.00100037
ENSG00000187266,0.00100159,0.00100067,0.000998912,0.00100037
ENSG00000164010,0.00100158,0.00100067,0.000998915,0.00100037
ENSG00000103042,0.00100158,0.00100067,0.000998918,0.00100037
ENSG00000128513,0.00100157,0.00100067,0.000998921,0.00100037
