Cluster 1,Cluster 2,Cluster 3,Cluster 4
GTEX-XYKS-0005-SM-4BRUD,GTEX-T2IS-0011-R3A-SM-32QPB,GTEX-1IDJU-2326-SM-ARL89,GTEX-YEC4-1026-SM-9WG7N
GTEX-X5EB-0006-SM-46MV5,GTEX-1A3MX-0011-R8a-SM-7P8PI,GTEX-OXRO-1926-SM-2S1O3,GTEX-18QFQ-1026-SM-7LG6B
GTEX-XBED-0006-SM-47JXO,GTEX-Y8DK-0011-R8B-SM-EYYVQ,GTEX-TMMY-0626-SM-33HBD,GTEX-1C475-0926-SM-7MKFI
GTEX-1EKGG-0005-SM-AHZ1Z,GTEX-ZZPT-3026-SM-5GZXH,GTEX-14PJN-2226-SM-6872I,GTEX-14PJN-0526-SM-68724
GTEX-1I1CD-0005-SM-ADEGY,GTEX-12ZZX-0011-R10b-SM-5DUWK,GTEX-14PN4-0426-SM-6AJ9N,GTEX-XQ8I-1526-SM-4BOOH
GTEX-WY7C-0004-SM-4ONDS,GTEX-1ICLZ-0011-R8b-SM-ACKX4,GTEX-1I19N-1926-SM-CM2TF,GTEX-1EKGG-1726-SM-7MXUP
GTEX-P44H-0006-SM-2XCFB,GTEX-13FLV-0011-R6a-SM-5KLZ4,GTEX-1122O-0426-SM-5H12G,GTEX-1MCYP-1026-SM-DPRYB
GTEX-1MUQO-0005-SM-DKPPT,GTEX-14ASI-0011-R1b-SM-5S2TY,GTEX-1EU9M-0426-SM-7SB8N,GTEX-1LSVX-1226-SM-DHXJN
GTEX-1A3MX-0005-SM-7MGW7,GTEX-QMR6-0011-R2A-SM-32PKV,GTEX-14C39-2626-SM-5S2QD,GTEX-ZAB5-0926-SM-5CVMV
GTEX-147JS-0006-SM-5NQ7K,GTEX-13G51-0011-R7b-SM-5LZXG,GTEX-1EKGG-0826-SM-79OLL,GTEX-13W46-1926-SM-5J2MF
GTEX-1128S-0005-SM-5P9HI,GTEX-1C6WA-0011-R5a-SM-9WG5X,GTEX-1M4P7-0426-SM-DKPQG,GTEX-1LGRB-1626-SM-CNNR7
GTEX-1A3MW-0006-SM-7MKGU,GTEX-13X6J-2826-SM-7EPGA,GTEX-13O3O-1126-SM-5KM4Q,GTEX-ZVE2-1326-SM-5NQ94
GTEX-XGQ4-0005-SM-4AT5U,,GTEX-146FH-1326-SM-5NQBI,GTEX-146FQ-1026-SM-5LU8I
GTEX-11EQ8-0006-SM-5P9HJ,,GTEX-PWCY-0426-SM-48TCW,GTEX-13OVG-0626-SM-5IFEP
GTEX-1QP28-0006-SM-DLZQW,,GTEX-16XZZ-1426-SM-7KUE3,GTEX-ZV68-0926-SM-59HK7
GTEX-111YS-0006-SM-5NQBE,,GTEX-14ASI-1126-SM-5QGPN,GTEX-Y9LG-0626-SM-4WWDH
GTEX-13OVI-2126-SM-5KM3U,,GTEX-13RTJ-2626-SM-7DHKR,GTEX-17EVQ-1926-SM-7IGOF
,,GTEX-1CB4F-0726-SM-793AO,GTEX-1R9PM-1126-SM-E76OX
,,GTEX-QXCU-0226-SM-2TC5W,GTEX-1H11D-2126-SM-9OSXM
,,GTEX-1HBPN-1026-SM-9YFLZ,GTEX-WHWD-0926-SM-4OORY
,,GTEX-OHPL-3026-SM-3MJGS,GTEX-11EMC-2226-SM-5A5JW
,,GTEX-1IKOE-0826-SM-ARZME,GTEX-O5YV-1026-SM-3LK72
,,GTEX-1C4CL-0126-SM-7IGN5,GTEX-1LGOU-0526-SM-D3LAO
,,GTEX-X4XY-1526-SM-4QASE,GTEX-PSDG-1326-SM-48TD2
,,GTEX-147F4-1326-SM-5LU9V,GTEX-11DYG-1326-SM-5N9DO
,,GTEX-1LB8K-1126-SM-DIPEP,GTEX-1HKZK-1426-SM-A96U1
,,GTEX-OIZG-0426-SM-3LK5W,GTEX-W5WG-1626-SM-4LMKG
,,GTEX-ZAB5-2026-SM-5L3EQ,GTEX-1MA7W-0426-SM-E9TJ5
,,GTEX-1QW4Y-1926-SM-E8VO3,GTEX-13FH7-0526-SM-5IJF8
,,GTEX-14JG6-2026-SM-6EU2E,GTEX-ZTPG-0726-SM-5DUXP
,,GTEX-QDT8-1026-SM-43V6X,GTEX-ZZPU-0226-SM-5N9BV
,,GTEX-17HHY-0526-SM-793BZ,GTEX-QLQ7-0326-SM-DHXIO
,,GTEX-O5YV-0626-SM-3LK64,GTEX-Q2AH-0626-SM-48TZJ
,,GTEX-13VXU-0526-SM-5K7V1,GTEX-1HC8U-1126-SM-COH35
,,GTEX-1JJEA-0726-SM-CYPSN,GTEX-WHPG-0926-SM-4M1XY
,,GTEX-YB5E-2426-SM-5IFIV,GTEX-WK11-2426-SM-3NMAA
,,GTEX-147F4-0126-SM-5QGPV,GTEX-147JS-0426-SM-5TDD2
,,GTEX-WHPG-2326-SM-3NMBP,GTEX-ZYW4-2226-SM-5GZYG
,,GTEX-Y8E4-1126-SM-5IFIA,GTEX-16MTA-1326-SM-6PALX
,,GTEX-1HCU8-1526-SM-ADEHG,GTEX-P78B-0226-SM-3NB1Z
,,GTEX-14PN3-0426-SM-6LLIY,GTEX-14PN3-0326-SM-6EU1X
,,GTEX-145MO-0626-SM-5NQAW,GTEX-Y9LG-1226-SM-4VBQA
,,GTEX-13X6K-1926-SM-5LU4O,GTEX-1HCVE-0226-SM-CGQEV
,,GTEX-15CHR-0526-SM-79OLJ,GTEX-1399T-1326-SM-5PNVH
