Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11,Cluster 12
GTEX-1JKYR-1226-SM-CM2S7,,,,,,,,,,GTEX-13FH7-1526-SM-5J2N6,
GTEX-14E1K-0426-SM-5S2PF,,,,,,,,,,GTEX-1211K-1826-SM-5EGJ2,
GTEX-ZF3C-0226-SM-4WWB3,,,,,,,,,,GTEX-17MFQ-1226-SM-7KFSA,
GTEX-1QP2A-0226-SM-EVYBC,,,,,,,,,,GTEX-11P81-1126-SM-5GU5G,
GTEX-14E1K-2126-SM-793DU,,,,,,,,,,GTEX-18D9A-1326-SM-7LT8P,
GTEX-1MA7X-1026-SM-DKPQ8,,,,,,,,,,GTEX-1N2EF-1726-SM-EXUSI,
GTEX-1S82P-0226-SM-E6CI6,,,,,,,,,,GTEX-QLQ7-1126-SM-CYPRB,
GTEX-14E6D-0226-SM-62LDW,,,,,,,,,,GTEX-15SHU-2526-SM-6M47D,
GTEX-WYJK-0226-SM-EYYV8,,,,,,,,,,GTEX-15EO6-2326-SM-6LPKK,
GTEX-ZYFD-0226-SM-5NQ86,,,,,,,,,,GTEX-13OVI-2126-SM-5KM3U,
GTEX-15ER7-0426-SM-6PAM3,,,,,,,,,,GTEX-1GZ4I-2426-SM-9WPPP,
GTEX-1QW4Y-1626-SM-EAZ41,,,,,,,,,,GTEX-11TUW-2026-SM-5EQL8,
GTEX-1399R-2626-SM-5KLZ7,,,,,,,,,,,
GTEX-ZDTS-1826-SM-5S2N6,,,,,,,,,,,
GTEX-13O3P-0226-SM-5KM3Z,,,,,,,,,,,
GTEX-13FTZ-0326-SM-5J1O1,,,,,,,,,,,
GTEX-1GMRU-1326-SM-9WYUI,,,,,,,,,,,
GTEX-1HSMO-1226-SM-CL548,,,,,,,,,,,
GTEX-14PII-1026-SM-5ZZVW,,,,,,,,,,,
GTEX-WI4N-0726-SM-3TW93,,,,,,,,,,,
GTEX-1F48J-1126-SM-9WYSY,,,,,,,,,,,
GTEX-1GTWX-0926-SM-9MQKM,,,,,,,,,,,
GTEX-132NY-1426-SM-5J1MJ,,,,,,,,,,,
GTEX-R55D-1826-SM-48FEF,,,,,,,,,,,
GTEX-17HHE-1826-SM-79OKE,,,,,,,,,,,
GTEX-VJYA-2126-SM-4KL1O,,,,,,,,,,,
GTEX-TML8-1326-SM-4DXTO,,,,,,,,,,,
GTEX-1KANC-0926-SM-D3LA9,,,,,,,,,,,
GTEX-ZF29-1826-SM-4WKG8,,,,,,,,,,,
GTEX-XGQ4-1226-SM-4AT67,,,,,,,,,,,
