"","x"
"GTEX-14C5O-1726-SM-5RQI9",4
"GTEX-1L5NE-1326-SM-CY8II",4
"GTEX-1J1R8-1026-SM-CJI37",4
"GTEX-1497J-2126-SM-5NQB8",4
"GTEX-1LSVX-1226-SM-DHXJN",62
"GTEX-ZAB5-0926-SM-5CVMV",67
"GTEX-13W46-1926-SM-5J2MF",62
"GTEX-1LGRB-1626-SM-CNNR7",68
"GTEX-ZVE2-1326-SM-5NQ94",62
"GTEX-146FQ-1026-SM-5LU8I",69
"GTEX-OOBK-0726-SM-3LK5Q",4
"GTEX-17F98-1826-SM-7DUFK",4
"GTEX-13OVJ-1426-SM-5K7Z2",4
"GTEX-13OVG-0626-SM-5IFEP",62
"GTEX-1F48J-1626-SM-9WPOE",4
"GTEX-13W3W-1826-SM-5IJDE",4
"GTEX-1F5PL-1226-SM-7P8R5",4
"GTEX-11TUW-1226-SM-5GU7C",4
"GTEX-14JG1-1826-SM-5YY9Y",4
"GTEX-ZV68-0926-SM-59HK7",4
"GTEX-18A66-1526-SM-72D6Y",4
"GTEX-YB5K-0726-SM-5LU8R",4
"GTEX-ZEX8-1326-SM-4WWEW",4
"GTEX-1PIIG-0926-SM-E6CQN",4
"GTEX-11GSP-1726-SM-5A5LI",4
"GTEX-Y9LG-0626-SM-4WWDH",62
"GTEX-S4Z8-0726-SM-4GICB",4
"GTEX-ZVZP-1626-SM-5GIDJ",4
"GTEX-17EVQ-1926-SM-7IGOF",62
"GTEX-1R9PM-1126-SM-E76OX",70
"GTEX-1JMQJ-1026-SM-CNPP8",4
"GTEX-1H11D-2126-SM-9OSXM",62
"GTEX-P4PQ-0726-SM-3NMCR",4
"GTEX-WHWD-0926-SM-4OORY",71
"GTEX-11EMC-2226-SM-5A5JW",48
"GTEX-18D9A-0326-SM-7LT8L",4
"GTEX-WYVS-1026-SM-4SOJW",4
"GTEX-O5YV-1026-SM-3LK72",62
"GTEX-1LGOU-0526-SM-D3LAO",67
"GTEX-PSDG-1326-SM-48TD2",72
"GTEX-11DYG-1326-SM-5N9DO",73
"GTEX-1AMFI-0326-SM-731CU",4
"GTEX-1HKZK-1426-SM-A96U1",48
"GTEX-W5WG-1626-SM-4LMKG",62
"GTEX-OHPM-0726-SM-3LK7A",4
"GTEX-15SB6-0926-SM-7KUFM",4
"GTEX-1B8KZ-0826-SM-73KYB",4
"GTEX-1JMQK-1826-SM-CY8I1",4
"GTEX-XUW1-1526-SM-4BOOY",4
"GTEX-1B97I-1026-SM-73KVC",74
"GTEX-1MA7W-0426-SM-E9TJ5",62
"GTEX-13X6H-1426-SM-5SI91",4
"GTEX-145LT-1326-SM-5O9AQ",4
"GTEX-13FH7-0526-SM-5IJF8",62
"GTEX-PLZ5-0826-SM-3P5ZW",4
"GTEX-14E7W-1926-SM-5S2R9",4
"GTEX-1HGF4-2826-SM-ADEII",4
"GTEX-1399U-0626-SM-5J1NZ",4
"GTEX-1R7EU-0426-SM-EVR4H",4
"GTEX-R55E-1126-SM-48FDZ",4
"GTEX-PLZ6-0326-SM-3P61J",4
"GTEX-11NV4-0526-SM-5N9BF",4
"GTEX-X4XY-0526-SM-46MW1",4
"GTEX-13X6I-0926-SM-5LUAB",4
"GTEX-1HBPH-0326-SM-CM2S8",4
"GTEX-11TUW-0926-SM-5EQMW",75
"GTEX-YJ8O-0126-SM-5QGRG",4
"GTEX-1IDJU-2326-SM-ARL89",4
"GTEX-OXRO-1926-SM-2S1O3",4
"GTEX-TMMY-0626-SM-33HBD",4
"GTEX-ZTPG-0726-SM-5DUXP",4
"GTEX-14PJN-2226-SM-6872I",4
"GTEX-14PN4-0426-SM-6AJ9N",4
"GTEX-ZZPU-0226-SM-5N9BV",76
"GTEX-1I19N-1926-SM-CM2TF",4
"GTEX-1122O-0426-SM-5H12G",4
"GTEX-1EU9M-0426-SM-7SB8N",4
"GTEX-14C39-2626-SM-5S2QD",77
"GTEX-1EKGG-0826-SM-79OLL",4
"GTEX-1M4P7-0426-SM-DKPQG",4
"GTEX-13O3O-1126-SM-5KM4Q",4
"GTEX-146FH-1326-SM-5NQBI",4
"GTEX-PWCY-0426-SM-48TCW",4
"GTEX-16XZZ-1426-SM-7KUE3",4
"GTEX-14ASI-1126-SM-5QGPN",4
"GTEX-13RTJ-2626-SM-7DHKR",4
"GTEX-1CB4F-0726-SM-793AO",4
"GTEX-QXCU-0226-SM-2TC5W",4
"GTEX-1HBPN-1026-SM-9YFLZ",4
"GTEX-OHPL-3026-SM-3MJGS",4
"GTEX-1IKOE-0826-SM-ARZME",4
"GTEX-1C4CL-0126-SM-7IGN5",4
"GTEX-X4XY-1526-SM-4QASE",4
"GTEX-147F4-1326-SM-5LU9V",4
"GTEX-1LB8K-1126-SM-DIPEP",4
"GTEX-OIZG-0426-SM-3LK5W",4
"GTEX-ZAB5-2026-SM-5L3EQ",4
"GTEX-1QW4Y-1926-SM-E8VO3",4
"GTEX-14JG6-2026-SM-6EU2E",4
"GTEX-QDT8-1026-SM-43V6X",4
"GTEX-17HHY-0526-SM-793BZ",4
"GTEX-O5YV-0626-SM-3LK64",4
"GTEX-13VXU-0526-SM-5K7V1",4
"GTEX-1JJEA-0726-SM-CYPSN",4
"GTEX-YB5E-2426-SM-5IFIV",4
"GTEX-147F4-0126-SM-5QGPV",4
"GTEX-WHPG-2326-SM-3NMBP",4
"GTEX-Y8E4-1126-SM-5IFIA",78
"GTEX-QLQ7-0326-SM-DHXIO",63
"GTEX-1HCU8-1526-SM-ADEHG",4
"GTEX-Q2AH-0626-SM-48TZJ",63
"GTEX-14PN3-0426-SM-6LLIY",4
"GTEX-145MO-0626-SM-5NQAW",4
"GTEX-13X6K-1926-SM-5LU4O",4
"GTEX-15CHR-0526-SM-79OLJ",4
"GTEX-1R9PO-0226-SM-E6CHS",4
"GTEX-WFON-2526-SM-3LK7P",4
"GTEX-1HSGN-1026-SM-CNPQ1",4
"GTEX-PSDG-1026-SM-48TCV",4
"GTEX-1F5PL-0526-SM-7PBYD",4
"GTEX-1B8KZ-2226-SM-73KYS",4
"GTEX-1NSGN-0526-SM-E9J34",4
"GTEX-QV44-2226-SM-447A3",4
"GTEX-11GS4-2926-SM-5A5LF",4
"GTEX-1CB4E-0426-SM-7PBY5",4
"GTEX-1339X-2626-SM-5K7YX",4
"GTEX-1LVAN-0426-SM-CNPPD",4
"GTEX-1399S-0926-SM-5PNVQ",76
"GTEX-XBED-2426-SM-4AT4O",4
"GTEX-1AX8Z-1426-SM-7939T",4
"GTEX-1HSKV-0626-SM-CNPPL",4
"GTEX-1GF9X-1826-SM-7PC3X",4
"GTEX-1J1R8-0826-SM-ACKWP",4
"GTEX-15SHV-0826-SM-7KUFA",4
"GTEX-1C64O-1026-SM-7PC3L",4
"GTEX-ZAK1-0426-SM-5J1MS",4
"GTEX-U3ZN-2526-SM-3DB7V",4
"GTEX-1CB4E-0726-SM-7EWEY",4
"GTEX-14BIN-0926-SM-5S2OZ",4
"GTEX-S3XE-0326-SM-4AD6L",4
"GTEX-YFC4-0926-SM-5S2U7",4
"GTEX-1QCLY-0626-SM-EAZ3Y",4
"GTEX-1HSMP-0526-SM-B2LXI",4
"GTEX-15CHC-0526-SM-6EU23",4
"GTEX-13PLJ-0526-SM-5K7VW",4
"GTEX-1JK1U-0426-SM-CYPSP",4
"GTEX-1HC8U-1126-SM-COH35",4
"GTEX-1GMR2-1126-SM-7RHI6",4
"GTEX-1GMR3-2326-SM-7SB94",4
"GTEX-12WSM-0526-SM-5GCO8",79
"GTEX-11P81-2726-SM-59876",4
"GTEX-1HCU6-0426-SM-CM2SI",78
"GTEX-WHPG-0926-SM-4M1XY",63
"GTEX-O5YT-1826-SM-32PK9",4
"GTEX-S4P3-0326-SM-4AD6P",4
"GTEX-11EMC-0926-SM-59863",4
"GTEX-WK11-2426-SM-3NMAA",4
"GTEX-SSA3-0226-SM-32QPN",4
"GTEX-1F6I4-0226-SM-9MQMA",4
"GTEX-147JS-0426-SM-5TDD2",80
"GTEX-ZYW4-2226-SM-5GZYG",63
"GTEX-16MTA-1326-SM-6PALX",81
"GTEX-P78B-0226-SM-3NB1Z",4
"GTEX-QEL4-0326-SM-3GAE5",4
"GTEX-14PN3-0326-SM-6EU1X",4
"GTEX-Y9LG-1226-SM-4VBQA",82
"GTEX-1HCVE-0226-SM-CGQEV",4
"GTEX-1399T-1326-SM-5PNVH",78
"GTEX-146FH-2026-SM-5SI9I",4
"GTEX-1LVAN-0126-SM-COH4H",4
"GTEX-12WSD-0226-SM-59HKO",4
"GTEX-ZPU1-2426-SM-4WWFM",4
"GTEX-15SKB-1626-SM-6PAL6",4
"GTEX-14PJ2-1426-SM-62LFF",4
"GTEX-1A8FM-0126-SM-7SB7P",4
"GTEX-1AMEY-1426-SM-7939I",4
"GTEX-1EU9M-0326-SM-7RHGF",4
"GTEX-WEY5-1926-SM-3GIL8",4
"GTEX-UJHI-1626-SM-3DB9A",4
"GTEX-13S7M-0226-SM-5S2UG",4
"GTEX-1JJ6O-0226-SM-E6CI9",4
"GTEX-1PPH8-0626-SM-EWRN9",4
