i_doc,doc,MEturquoise,MElightyellow,MEblue,MEpurple,MEmagenta,MEpink,MElightcyan,MEblack,MEmidnightblue,MEgreenyellow,MEred,MEgrey60,MEsalmon,MEbrown,MEgreen,MEcyan,MEdarkgreen,MEdarkred,MEtan,MElightgreen,MEroyalblue,MEdarkturquoise,MEyellow,MEgrey
20,GTEX-P44G-0011-R7A-SM-2I3F9,-0.0016889596712340198,0.00109096560443827,0.00109571204534648,0.0318370235679611,-0.00102082623611262,0.0154514903064212,-0.0023855526343382898,-0.00981442478814768,-0.00104902471525394,-0.0033667000109406397,-0.00207903884059859,-0.00165205747406478,-0.00424557934365642,-0.00437851147592133,-0.00282479171627626,-0.0021270104402165,-0.009524810632487541,-0.000322826897403945,-0.00207475411312647,-0.004075184262949121,-0.00426869689440579,-0.00261316385997935,-0.00693779380081341,-8.97484485786489e-05
21,GTEX-14C39-0011-R3b-SM-5YYA3,-0.00140272205604589,0.0026702454644359996,0.00547816474622237,0.0644062239265325,0.000505923977005928,0.0060280263281380295,-0.00229187528791918,-0.00976810767718114,-0.000252814187252325,-0.00349329545719605,-0.00213777919611423,0.000502207620768302,-0.00454711697031016,-0.004133042119211961,-0.00363743736224061,-0.00226278351697253,-0.00959281430320914,-0.0012121321579905099,-0.0023562400606140102,-0.00394316868897535,-0.00425866279480229,-0.00270308390173183,-0.00684887852898927,-6.7443673909441e-05
22,GTEX-1GF9V-0011-R10b-SM-CKZNP,0.0007224840450919049,0.0276485820494534,0.0235836900629653,0.19264827835714898,0.00616940810099604,0.0206813408790428,-0.00139064774371385,-0.009383402685483329,-0.000378187140017216,-0.00218653048063262,-0.00203935027609327,-0.0006132536945695701,-0.00349928840445914,-0.00353486586414916,-0.0019090162260944601,-0.00183262953133974,-0.008313041569560241,-0.000532112982503204,-0.00187327667786665,-0.00397571093036996,-0.00427060962696514,-0.0015254882994833099,-0.00583321829995779,-0.000135247342427665
23,GTEX-NPJ7-0011-R9a-SM-2TC5R,-0.00136785642175644,0.0015920867887491,0.000543183939533129,0.0137118959798736,0.00110125090801987,0.18145593750419897,-0.00195755764407666,-0.00976502444126063,-0.00192201849209971,-0.0035932117901817102,-0.00183992809419975,-0.0009067458946865391,-0.00357135325594975,0.0056866811501328895,-0.0023307672235515398,-0.00212793959784619,-0.00865244613227699,0.000418452595556412,-0.0024598312947300698,-0.00389024462324674,-0.00424023825530692,-0.002797571847769,-0.00643998077670312,3.77573883754494e-06
24,GTEX-1313W-0011-R7b-SM-5DUWL,-0.00115416250154549,0.0020273601564614802,0.00329177004084716,0.0470264032630551,-0.00136929517066487,0.0341136619858643,-0.00253647911551315,-0.00975031229951477,-0.00170138480573661,-0.0037110366744767397,-0.00199799427941165,-0.00125039351574749,-0.00393061967408501,-0.00411608961547729,-0.0031033165985869,-0.00242161632448337,-0.00884109845236508,0.0019292933005663102,-0.0019451313610715601,-0.0040810956783841,-0.00427060962696514,-0.00258341608824876,-0.0069687332980335895,-0.000112028051875815
25,GTEX-13QJC-0011-R8b-SM-5S2U6,-0.00189795832258497,0.00246130498665467,-0.000876380886368821,0.00943290010829828,0.0009260394524037641,0.0117386189484719,-0.00281527437978212,-0.00991332179751613,-0.00242275646457188,-0.00359907940291936,-0.00223646959622875,-0.0016817061609198198,-0.00457443971705456,-0.00421941802205519,-0.00394480781711805,-0.00218143320165657,-0.00965113225345355,0.0014685005563419,-0.00244367165247725,-0.00408317533794751,-0.00427060962696514,-0.0019117911794095301,-0.00690273382984996,-4.13193979243258e-05
26,GTEX-Z93S-0011-R7b-SM-4RGNK,-0.00130058900070255,0.00742790567004508,0.00555607683893991,0.0638807635280833,-0.000876170386262771,0.0161936283039227,-0.00245236095945671,-0.00962070309136783,-0.0020131041985292,-0.00373648440968461,-0.00199001087593581,-0.000667410707675185,0.0022231480005352197,-0.00428987814317082,-0.00420410234502752,-0.00261152239825493,-0.00919451773415212,0.000917545277735435,-0.00210615157237838,-0.00408377465037527,-0.00427060962696514,-0.00247401196093625,-0.006964298797173821,-9.806998010985219e-05
27,GTEX-1HSMO-0011-R2a-SM-CL553,0.0027153215952797198,0.0524100383704205,0.0021073911510662803,0.0127481755478669,0.48770249032991797,0.11648847570048401,-0.0008839181164971231,-0.00983489468314865,-0.000561258444559385,-0.00340046997889897,-0.00221513471595888,-0.00157893689598246,-0.00419704285005608,-0.00025625280743383,-0.00209865481183955,-0.00268608066088651,-0.00851992340832917,-0.00150482766127481,-0.000864534669495756,-0.00402272324407572,-0.00425898147697202,0.0028005399150683,-0.00572318281797045,-2.2172140956446697e-05
28,GTEX-1B996-0011-R10b-SM-CJI3T,0.0010362121408513901,0.0105527591910416,0.012873203352433997,0.0999277636765609,0.00185824914455427,0.0120642241642788,-0.00227060295894242,-0.009094442783854441,0.00122530001381057,-0.0032897462617587103,-0.00145243968053131,0.0012856770312986699,-0.00424102714741773,-0.00143253345077609,-0.0022701930700330802,0.00155019100835067,-0.00865006139464771,0.0006535550298401731,-0.00173693062362704,-0.00406951489783497,-0.00425425748245603,-0.0024584742622289,-0.00613519321867375,-8.90057330522227e-05
29,GTEX-1B933-0011-R2b-SM-7IGNM,-0.000641565194983096,0.0347415950303295,0.0148085020064259,0.10548614279372699,0.00104699014596627,0.0756721944368588,0.0314347242172431,-0.009790773232159091,-0.000777277033183358,-0.00374288744444509,-0.00214476046244251,0.000310246894996903,-0.00387050818476919,-0.00247230707805011,-0.0025360144868649803,-0.00100927811279541,-0.00846237951399837,-0.00101765528271791,0.000273266785424213,-0.004016818229046129,-0.00427060962696514,-0.0022860082879425,-0.00657222917886516,-4.48898924416658e-05
