"","x"
"GTEX-1J1R8-0826-SM-ACKWP",86
"GTEX-15SHV-0826-SM-7KUFA",84
"GTEX-1C64O-1026-SM-7PC3L",86
"GTEX-ZAK1-0426-SM-5J1MS",85
"GTEX-U3ZN-2526-SM-3DB7V",86
"GTEX-1CB4E-0726-SM-7EWEY",86
"GTEX-14BIN-0926-SM-5S2OZ",93
"GTEX-S3XE-0326-SM-4AD6L",84
"GTEX-YFC4-0926-SM-5S2U7",93
"GTEX-1QCLY-0626-SM-EAZ3Y",85
"GTEX-1HSMP-0526-SM-B2LXI",85
"GTEX-15CHC-0526-SM-6EU23",90
"GTEX-13PLJ-0526-SM-5K7VW",93
"GTEX-1JK1U-0426-SM-CYPSP",86
"GTEX-1HC8U-1126-SM-COH35",105
"GTEX-1GMR2-1126-SM-7RHI6",86
"GTEX-1GMR3-2326-SM-7SB94",93
"GTEX-12WSM-0526-SM-5GCO8",85
"GTEX-11P81-2726-SM-59876",85
"GTEX-1HCU6-0426-SM-CM2SI",85
"GTEX-WHPG-0926-SM-4M1XY",99
"GTEX-O5YT-1826-SM-32PK9",85
"GTEX-S4P3-0326-SM-4AD6P",86
"GTEX-11EMC-0926-SM-59863",105
"GTEX-WK11-2426-SM-3NMAA",82
"GTEX-SSA3-0226-SM-32QPN",82
"GTEX-1F6I4-0226-SM-9MQMA",82
"GTEX-147JS-0426-SM-5TDD2",82
"GTEX-ZYW4-2226-SM-5GZYG",106
"GTEX-16MTA-1326-SM-6PALX",107
"GTEX-P78B-0226-SM-3NB1Z",82
"GTEX-QEL4-0326-SM-3GAE5",82
"GTEX-14PN3-0326-SM-6EU1X",61
"GTEX-Y9LG-1226-SM-4VBQA",108
"GTEX-1HCVE-0226-SM-CGQEV",109
"GTEX-1399T-1326-SM-5PNVH",82
"GTEX-146FH-2026-SM-5SI9I",110
"GTEX-1LVAN-0126-SM-COH4H",82
"GTEX-12WSD-0226-SM-59HKO",111
"GTEX-ZPU1-2426-SM-4WWFM",82
"GTEX-15SKB-1626-SM-6PAL6",110
"GTEX-14PJ2-1426-SM-62LFF",112
"GTEX-1A8FM-0126-SM-7SB7P",111
"GTEX-1AMEY-1426-SM-7939I",112
"GTEX-1EU9M-0326-SM-7RHGF",111
"GTEX-WEY5-1926-SM-3GIL8",53
"GTEX-UJHI-1626-SM-3DB9A",82
"GTEX-13S7M-0226-SM-5S2UG",109
"GTEX-1JJ6O-0226-SM-E6CI9",53
"GTEX-1PPH8-0626-SM-EWRN9",53
"GTEX-ZV68-0226-SM-59HJF",82
"GTEX-ZQUD-0526-SM-57WG4",61
"GTEX-X638-0226-SM-47JZ9",82
"GTEX-1JJEA-0226-SM-COH2X",86
"GTEX-1JMQK-0126-SM-CM2S3",113
"GTEX-1I1CD-0226-SM-CM2TL",82
"GTEX-ZGAY-0626-SM-DO92E",112
"GTEX-1GMR2-2526-SM-9MQKW",53
"GTEX-1A3MX-0826-SM-72D64",66
"GTEX-1C64N-1326-SM-7SB7D",110
"GTEX-13QBU-1326-SM-5LU4K",114
"GTEX-1JJE9-1226-SM-CNPOI",82
"GTEX-13O21-1526-SM-5K7W4",82
"GTEX-12584-0226-SM-5EQL5",112
"GTEX-111FC-0226-SM-5N9B8",70
"GTEX-1GMR3-2026-SM-9MQLG",110
"GTEX-12126-0426-SM-5Q5AP",82
"GTEX-R45C-0226-SM-EVYAJ",82
"GTEX-12ZZZ-0526-SM-5DUX6",82
"GTEX-16BQI-0526-SM-6PAM8",110
"GTEX-1GF9U-1226-SM-ARL9I",112
"GTEX-1B996-0126-SM-7PBYF",82
"GTEX-14A5H-0526-SM-5TDCN",115
"GTEX-RWSA-0226-SM-2XCBA",82
"GTEX-1POEN-1626-SM-EVYC2",112
"GTEX-14C5O-0926-SM-793DM",112
"GTEX-XMK1-0926-SM-4B66X",116
"GTEX-144GM-1926-SM-5LUAN",53
"GTEX-11WQC-2426-SM-5EQKQ",117
"GTEX-1H2FU-0226-SM-9YFKO",82
"GTEX-1HSMO-1426-SM-CNNQN",110
"GTEX-1JJ6O-2826-SM-CNNP7",110
"GTEX-17MFQ-1126-SM-7LT9O",112
"GTEX-14PJ6-2226-SM-6LLIV",109
"GTEX-1HB9E-0526-SM-ARZNM",118
"GTEX-Y111-0226-SM-4SOIW",70
"GTEX-1HR98-0226-SM-CGQEK",109
"GTEX-1B8KZ-1026-SM-73KYN",112
"GTEX-1HCU7-2026-SM-A9G2B",113
"GTEX-1B8SG-0226-SM-7939Q",82
"GTEX-1EKGG-1426-SM-7PBY2",82
"GTEX-1HSKV-0326-SM-ADEJC",70
"GTEX-XPVG-2726-SM-4B66W",112
"GTEX-18465-0226-SM-7LG5M",70
"GTEX-1E2YA-0226-SM-9MQLY",112
"GTEX-1HBPI-1426-SM-B2LW7",115
"GTEX-111YS-2426-SM-5GZZQ",112
"GTEX-1S5ZA-1026-SM-EWRO2",114
"GTEX-14DAR-0426-SM-664MW",110
"GTEX-1GF9X-1926-SM-ADEIC",82
"GTEX-ZF29-0826-SM-5S2O2",110
"GTEX-1HCU9-0626-SM-ACKW6",61
"GTEX-16AAH-2026-SM-7LG5F",70
"GTEX-17F9Y-0726-SM-7LT9G",110
"GTEX-1AX9J-0326-SM-73KXY",82
"GTEX-13OVL-0326-SM-5IJCS",70
"GTEX-1AYCT-2226-SM-7SB98",119
"GTEX-1QW4Y-0826-SM-DTXE1",112
"GTEX-1JKYR-1226-SM-CM2S7",112
"GTEX-14E1K-0426-SM-5S2PF",112
"GTEX-ZF3C-0226-SM-4WWB3",110
"GTEX-1QP2A-0226-SM-EVYBC",82
"GTEX-12WSF-1526-SM-6PAN6",112
"GTEX-14E1K-2126-SM-793DU",53
"GTEX-1MA7X-1026-SM-DKPQ8",111
"GTEX-1S82P-0226-SM-E6CI6",112
"GTEX-14E6D-0226-SM-62LDW",113
"GTEX-WYJK-0226-SM-EYYV8",82
"GTEX-ZYFD-0226-SM-5NQ86",113
"GTEX-15ER7-0426-SM-6PAM3",110
"GTEX-1QW4Y-1626-SM-EAZ41",82
"GTEX-1399R-2626-SM-5KLZ7",82
"GTEX-ZDTS-1826-SM-5S2N6",82
"GTEX-13O3P-0226-SM-5KM3Z",112
"GTEX-OIZI-0005-SM-2XCED",120
"GTEX-WRHK-0001-SM-4WWDD",121
"GTEX-1JJEA-0006-SM-DHXJ2",122
"GTEX-ZEX8-0004-SM-4WKFQ",123
"GTEX-1PBJJ-0005-SM-CKZND",124
"GTEX-WRHU-0006-SM-3MJF6",125
"GTEX-1LBAC-0005-SM-DIPEE",122
"GTEX-XMD3-0006-SM-4AT5X",126
"GTEX-13OVL-0006-SM-5O996",122
"GTEX-R53T-0005-SM-3GADK",127
"GTEX-11ZU8-0005-SM-5PNU5",128
"GTEX-13U4I-0006-SM-5N9CI",129
"GTEX-WYVS-0004-SM-4ONDT",130
"GTEX-1H2FU-0004-SM-EYYW8",123
"GTEX-ZUA1-0005-SM-4YCEV",122
"GTEX-1HCVE-0006-SM-ADEH2",131
"GTEX-XYKS-0002-SM-4BRWN",132
"GTEX-1J8Q2-0006-SM-CNNOZ",122
"GTEX-1GN1W-0006-SM-A9SKL",131
"GTEX-1S5ZU-0005-SM-CYPS3",122
"GTEX-11I78-0001-SM-5Q5BE",123
"GTEX-13FTX-0005-SM-5N9F6",133
"GTEX-1C6VR-0005-SM-7MKF7",134
"GTEX-X638-0003-SM-47JZ1",132
"GTEX-11P82-0006-SM-5N9FY",122
"GTEX-Y5V6-0005-SM-4V6FD",131
"GTEX-1PPH7-0005-SM-CKZNE",134
"GTEX-18A6Q-0005-SM-9KNVX",125
"GTEX-1HCU8-0005-SM-A96RL",135
"GTEX-1CB4H-0006-SM-A96RE",136
"GTEX-R55C-0005-SM-3GAE9",131
"GTEX-OIZH-0005-SM-2HMJN",131
"GTEX-1LSNM-0005-SM-CXZIW",134
"GTEX-WHPG-0006-SM-3NMBV",131
"GTEX-N7MT-0007-SM-3GACQ",137
"GTEX-1HBPN-0002-SM-EYYW2",138
"GTEX-1QW4Y-0005-SM-DO93W",131
"GTEX-ZG7Y-0006-SM-4WWEA",131
"GTEX-1HSMP-0006-SM-AHZ25",134
"GTEX-17HHY-0006-SM-7MXT4",122
