Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6
GTEX-111YS-1726-SM-5GIED,TCGA-90-6837-01A-11R-1949-07,GTEX-XAJ8-0726-SM-47JY5,TCGA-62-A46R-01A-11R-A24H-07,TCGA-DD-AAEI-01A-11R-A41C-07,GTEX-RTLS-0926-SM-2TF5X
GTEX-131XF-1926-SM-5DUW4,TCGA-JY-A6FG-01A-11R-A336-31,GTEX-ZZ64-0726-SM-5GZX4,TCGA-MP-A4TA-01A-21R-A24X-07,TCGA-4R-AA8I-01A-11R-A38B-07,GTEX-132NY-1226-SM-5PNVF
GTEX-WFG7-1826-SM-3GIL1,TCGA-52-7810-01A-11R-2125-07,GTEX-S7SF-1926-SM-4AT5B,TCGA-N9-A4Q4-01A-11R-A28V-07,TCGA-EP-A2KC-01A-11R-A213-07,GTEX-RM2N-0426-SM-2TF4T
GTEX-145LT-0626-SM-5O99E,GTEX-ZZ64-0226-SM-5E44X,GTEX-YB5E-1626-SM-5IFIQ,TCGA-55-6969-01A-11R-1949-07,TCGA-ED-A82E-01A-11R-A352-07,GTEX-SIU8-0926-SM-5SI87
GTEX-11TUW-2126-SM-5GU7B,TCGA-E9-A3QA-01A-61R-A22K-07,GTEX-ZYVF-2826-SM-5GIDK,TCGA-91-6840-01A-11R-1949-07,TCGA-G3-AAV5-01A-11R-A37K-07,GTEX-YB5E-0726-SM-4VDSH
GTEX-11ZUS-2126-SM-5N9E6,GTEX-PSDG-1326-SM-48TD2,GTEX-PX3G-1526-SM-48U11,TCGA-AZ-4323-01A-21R-1839-07,TCGA-DD-A1EI-11A-11R-A131-07,GTEX-ZTPG-0926-SM-5O99H
TCGA-KK-A8IH-01A-11R-A36G-07,GTEX-14E1K-1226-SM-5S2PD,GTEX-WI4N-2226-SM-4OOS9,TCGA-J2-A4AE-01A-21R-A24H-07,TCGA-DD-A11B-01A-11R-A131-07,TCGA-FL-A1YN-11A-11R-A32Y-07
GTEX-ZVP2-0826-SM-59HJ6,GTEX-U3ZN-1726-SM-4DXUQ,GTEX-Y5V6-1326-SM-4VDTF,TCGA-49-6745-01A-11R-1858-07,TCGA-W5-AA38-01A-11R-A41I-07,GTEX-WY7C-0426-SM-3NB3C
GTEX-YB5E-1826-SM-5IFI4,GTEX-13QBU-1026-SM-5LU3R,GTEX-WFON-1126-SM-4LVMA,,TCGA-DD-A4NF-01A-11R-A27V-07,TCGA-FL-A1YV-11A-12R-A32Y-07
GTEX-YJ8A-1126-SM-5IFJU,GTEX-132AR-2226-SM-5J2NT,GTEX-UPIC-1826-SM-4IHKC,,TCGA-BC-A10Z-11A-11R-A131-07,GTEX-ZXES-0726-SM-5E451
GTEX-145LV-1226-SM-5S2QH,GTEX-Y5LM-1026-SM-4VDSQ,GTEX-PLZ6-0826-SM-3P61K,,TCGA-CC-A1HT-01A-11R-A131-07,GTEX-PX3G-2026-SM-48U1H
GTEX-XMK1-1026-SM-4B65H,GTEX-WRHK-0526-SM-4MVOF,GTEX-139YR-1926-SM-5LZXM,,TCGA-ED-A7XP-01A-11R-A352-07,GTEX-13D11-1226-SM-5IFGA
GTEX-QMRM-1426-SM-4R1K8,GTEX-13CF3-1626-SM-5IFG9,GTEX-14BMV-2226-SM-5RQHX,,TCGA-DD-AAC8-01A-11R-A41C-07,GTEX-13S7M-1726-SM-5RQK3
