Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20
G0S2,ST6GALNAC1,PIFO,SPRR2G,ADAMTS20,,,,,,,,,,,,,,,
AL590714.1,PRSS3,GPR126,IL36RN,POU4F3,,,,,,,,,,,,,,,
HLA-DQA1,SPINK7,C5orf27,PVALB,C4orf51,,,,,,,,,,,,,,,
HLA-DQB1,HFE2,TUSC5,KRT1,C10orf32-ASMT,,,,,,,,,,,,,,,
CYP4A11,VIL1,ITGAL,CLEC12A,FABP9,,,,,,,,,,,,,,,
MST1,FAM83D,SLC9A3,IL36G,AC017028.1,,,,,,,,,,,,,,,
ECM1,CKMT1B,LRRC26,XAGE1E,LCE1A,,,,,,,,,,,,,,,
AOX1,TNS4,GJB3,DSG1,GTSCR1,,,,,,,,,,,,,,,
ASGR2,FAM198B,HHLA2,TRIM55,AC140061.12,,,,,,,,,,,,,,,
HSD11B1,NR1I3,BAIAP2L2,RHBG,ACPT,,,,,,,,,,,,,,,
LRG1,FXYD2,FA2H,CLDN6,SMCP,,,,,,,,,,,,,,,
CALML3,LAMC2,PPP2R2C,TBX4,FLG2,,,,,,,,,,,,,,,
GSTM3,CDA,NR1H4,CPLX3,LCE2A,,,,,,,,,,,,,,,
SYNPO2,CYP4A22,BCO2,AC009065.1,NPHS2,,,,,,,,,,,,,,,
SFRP2,FMO2,SGK2,DSCR8,RAX,,,,,,,,,,,,,,,
C8orf4,AOC1,DPEP1,FAM83C,LCE5A,,,,,,,,,,,,,,,
HSPB8,HAL,C2orf88,LGI2,DSCAM,,,,,,,,,,,,,,,
MIEN1,GPAM,HOXB6,MUC16,C8orf74,,,,,,,,,,,,,,,
GAMT,KLK6,CXCL5,RP11-664D7.4,ADAM18,,,,,,,,,,,,,,,
ERBB2,MARC1,CYP4Z1,FEV,PYDC2,,,,,,,,,,,,,,,
CXCL17,NPY1R,COL11A1,SLC5A5,ADAD1,,,,,,,,,,,,,,,
CLEC3B,ATOH8,OASL,SLC7A4,AC092291.2,,,,,,,,,,,,,,,
CFI,PGLYRP2,RERGL,SOWAHA,NPAP1,,,,,,,,,,,,,,,
TPSAB1,UGT1A1,KCNJ15,C6orf223,,,,,,,,,,,,,,,,
ATF3,STMN3,IL20RB,DLX1,,,,,,,,,,,,,,,,
CCDC80,C19orf80,SAMD9,RP11-77K12.7,,,,,,,,,,,,,,,,
DSP,ASPN,KCNG1,FITM1,,,,,,,,,,,,,,,,
