i_doc,doc,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20
81,GTEX-ZC5H-2626-SM-5J2MG,0.646179642519,0.269127312454,0.0609352564061,0.0232110884531,0.000535097872325,9.28183646704e-07,0.0,0.0,0.0,6.03319370357e-06,0.0,0.0,0.0,0.0,3.24864276346e-06,1.39227547006e-06,0.0,0.0,0.0,0.0
82,GTEX-13W3W-1226-SM-5LU4H,0.727262070733,0.189522338854,0.0703894268942,0.012509403804,0.000316759714833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,GTEX-133LE-1726-SM-5K7VQ,0.603977450301,0.297704168155,0.0854242767461,0.0126491234663,0.000243554255754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.75691905769e-07,9.51383811538e-07,0.0,0.0,0.0,0.0,0.0
84,GTEX-Y5V5-2126-SM-4WWFO,0.68280054673,0.225783898527,0.0756357686244,0.0153034411493,0.000471643006753,0.0,0.0,1.08506826707e-06,1.08506826707e-06,2.5318259565e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,GTEX-XUZC-1626-SM-4BRVP,0.60017035953,0.283000582479,0.0790297022675,0.0367012048344,0.00108979993194,0.0,0.0,0.0,2.08773933322e-06,8.35095733287e-07,0.0,0.0,0.0,4.17547866644e-07,0.0,0.0,0.0,5.01057439972e-06,0.0,0.0
86,GTEX-ZPIC-1126-SM-5BC7F,0.613009840312,0.234904896001,0.143662407014,0.00818056292913,0.000242293743746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,GTEX-14AS3-1626-SM-5S2OY,0.626224039127,0.309212902561,0.0470246481859,0.0172642203368,0.000272305323679,0.0,0.0,0.0,0.0,6.28155302604e-07,0.0,0.0,0.0,0.0,0.0,1.25631060521e-06,0.0,0.0,0.0,0.0
88,GTEX-13113-1726-SM-5GCOO,0.705173823148,0.223968483388,0.0605554911295,0.00992837390762,0.000371942785866,0.0,0.0,0.0,4.71410374988e-07,0.0,0.0,0.0,0.0,0.0,0.0,9.42820749976e-07,0.0,4.71410374988e-07,0.0,0.0
89,GTEX-XMD2-0926-SM-4WWEF,0.649651414009,0.301634371518,0.0324102111372,0.0158301341115,0.000465468641771,0.0,0.0,0.0,1.52737864404e-06,0.0,0.0,0.0,0.0,0.0,3.8184466101e-07,3.05475728808e-06,0.0,3.43660194909e-06,0.0,0.0
90,GTEX-T2IS-1526-SM-32QPR,0.697235124366,0.232460224802,0.0481222054061,0.0217232328389,0.000455230975526,0.0,0.0,0.0,0.0,8.8480267352e-07,0.0,0.0,0.0,0.0,0.0,3.09680935732e-06,0.0,0.0,0.0,0.0
91,GTEX-YJ8O-2226-SM-5IFHW,0.669585973064,0.223045771464,0.0928089790325,0.0141211257416,0.000437195427948,0.0,0.0,0.0,0.0,6.368469453e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1842347265e-07,0.0,0.0
92,GTEX-ZF3C-2326-SM-5S2MZ,0.704324059792,0.245214738593,0.0384560666296,0.0117760882744,0.000228212296679,0.0,0.0,0.0,0.0,4.17207123728e-07,0.0,0.0,0.0,4.17207123728e-07,0.0,0.0,0.0,0.0,0.0,0.0
93,GTEX-13FTX-1126-SM-5N9EN,0.565074915381,0.270076590436,0.11958735892,0.0450868035439,0.000174331719656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,GTEX-SE5C-2126-SM-4BRUJ,0.671117125276,0.239627344848,0.0788319655498,0.0102106714172,0.000199720604758,0.0,0.0,0.0,0.0,2.49205745688e-06,0.0,0.0,0.0,0.0,8.18818878688e-06,1.4240328325e-06,1.06802462438e-06,0.0,0.0,0.0
95,GTEX-13QIC-2326-SM-5LU5N,0.612387203247,0.319831220109,0.0476105063093,0.0196682345839,0.000501318901012,0.0,0.0,0.0,0.0,1.13763744556e-06,0.0,0.0,0.0,0.0,3.79212481855e-07,0.0,0.0,0.0,0.0,0.0
96,GTEX-XV7Q-2326-SM-4BRVZ,0.643591058548,0.251767374295,0.097985788439,0.00641551227416,0.00023761156571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.65487782916e-06,0.0
