,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11
ENSG00000164266,4389.135148932045,13.388559002112602,11.706239166574512,11392.714102304693,1.189389061368845,4.0212732412609435,12.180943704175348,12.793994044776111,2.0027960252488306,716.7474994206568,105.17337218799143
ENSG00000133710,1231.9794919481271,28.390980882911997,313.2004516032819,8.334758275268413,1.3115708309363872,2.949881864484785,29.319575984769717,14.586852863844834,210.45921297879912,21570.11412793587,34.23887960265701
ENSG00000155850,5692.476869064868,3156.170312020513,3830.45335155538,1111.106331173836,1731.7111386137951,62.32076827207984,8390.814962667922,6889.971824518285,1917.9396415578265,4262.616311135552,2699.8869106747293
ENSG00000113739,728.8216983461366,3148.759043421524,2124.091192317842,2219.1389693763485,2.3220823090437412,47.668564609828465,16830.081769137803,1855.377061758886,2068.2389652618153,1435.3619207197726,3561.4401543544527
ENSG00000074317,1.1061450214420303,1.1589126798320943,1.1983604937421979,1.218591897572819,19043.892313146906,1.1100757093593898,1.2161714797333267,1.440853808559321,51.50247015186492,1.147068138026003,1.1173390868631359
ENSG00000160883,904.0183071707136,6344.320674156544,2564.9296969680518,412.695421511295,16.229318013672657,14870.903166636523,234.65148500179257,1782.871366743525,968.1588591341489,10.79326820926085,6451.975759190852
ENSG00000248996,785.9858869849749,1757.6490309964647,1381.4026225697278,97.2639166266498,749.4482450194128,12143.64004894837,383.41741472189995,1093.151457969718,23.855478717539654,65.42364737317475,1103.5529589052453
ENSG00000146094,2490.2042346733347,4023.093137090928,4126.589030985218,866.1655949644672,3385.9896855902407,14606.817332659215,1473.6369448782232,3545.9333185877717,1009.7337961455621,1000.7025652661807,2577.9849737184823
ENSG00000161055,8156.915686260516,539.9511639631755,4971.201198506573,939.7573327408193,1514.5501186282654,1091.7866565705503,221.13780673595377,183.87787366103785,2.0256004050544525,2786.061447261892,734.8278235238586
ENSG00000137285,786.3224448849583,1467.2271830124107,644.9115246846757,830.846062555927,24709.40583470694,6.8690072669045685,3002.8353796988904,5773.164938302527,476.6667483701223,2190.0666189322847,622.4658621165221
ENSG00000172179,776.5389438148277,292.8346691961723,985.5889493593276,4213.126353954174,2103.3387671068544,1162.2045145270592,1337.6323388635071,4791.964047046981,444.65410768577146,484.7672211951745,276.6628009348704
ENSG00000111913,1231.0287270360081,3916.999872301103,2707.6631821349088,80.28426711865336,5862.916235458281,12603.673821966286,1433.2825512585055,2621.5726817280015,3412.3011725068345,1914.3359540110223,1837.5404915310874
ENSG00000226979,8.765208053482976,3.749957627166058,62.81179135950493,153.5717960580766,626.0332320305166,5755.884858109782,4.149815234689016,7.299499234549454,32.44941805033258,1.5452690598968792,2.5225193207507624
ENSG00000232810,364.71870523736163,73.82242566868022,41.40716000187407,3.141884258320533,1.4706377120373786,6726.641348693391,10.556790449647954,6.576670496613813,29.742628470328572,1306.2281041003148,194.8546283391184
ENSG00000227507,3656.8876635098572,924.9489209660658,1339.3251071837856,306.772796417773,1344.7573145862282,15219.101290888668,80.59411133883955,273.15761716378415,3.939217107757154,1802.98338655814,861.3830737872726
ENSG00000204482,1712.526127526604,7199.105420018062,2721.9410653409836,357.1933259324248,3653.0518131452422,13296.778828187475,506.1904717086529,3225.228279462243,73.44009362718421,2184.382017635947,3541.901971903913
ENSG00000204421,12.738079178130377,31.408031603848542,112.52063951673757,2.6025285382280976,4.2637742292882725,769.3492659178925,49.60360550937069,25.29387498877744,1.6009731000600753,17663.974860546226,58.12828576482811
ENSG00000243649,7338.539177082771,9492.436177307207,4809.808834032723,4839.720760790482,1550.1643622828165,54.67653918470417,6542.652204609532,9661.139311859813,1320.6529069991418,2292.276808768556,11685.406255305745
ENSG00000213654,4621.857817532201,8749.364334119839,4774.513202627158,1542.4213435908634,4148.0303910129205,15608.992703852677,6357.951684640294,5685.703537493765,2143.478829189005,2779.6159859931972,6708.379494944288
ENSG00000124507,12.265490057967863,5.111477567372636,4.903864625487799,211.30296568732126,19844.76658726521,10.252330513430431,1.8237558538578893,34.02609208870469,768.49694811589,1.2127582167198643,2.586685915805629
ENSG00000137392,45.362828373529965,63.413744337228934,57.443902436787376,25325.067472323644,31.790772309954303,97.27963400088433,71.71310114805752,111.68642676057543,78.90657891787184,249.14673745100077,69.13745439247623
