Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11
GTEX-11DYG-2526-SM-5N9BB,GTEX-183WM-0426-SM-731B1,GTEX-O5YT-0526-SM-32PK8,GTEX-18A6Q-0526-SM-7LG4O,GTEX-1B8KZ-2026-SM-7DHMB,GTEX-T5JC-0011-R10A-SM-32PM2,GTEX-1H3VE-2826-SM-9WPOL,GTEX-V1D1-0726-SM-4JBH7,GTEX-SN8G-2426-SM-EVR31,,
GTEX-13O21-1026-SM-5IJDU,GTEX-WFG8-2426-SM-3GILL,GTEX-1OJC3-1326-SM-E9J3D,GTEX-WHWD-0008-SM-4OOSU,GTEX-1IY9M-2826-SM-ARU8H,GTEX-1KD4Q-2126-SM-EV7A6,GTEX-11DZ1-0011-R9a-SM-DO933,GTEX-139YR-1926-SM-5LZXM,GTEX-1NUQO-1226-SM-E76PK,,
GTEX-13O21-1126-SM-5N9EV,GTEX-N7MS-0426-SM-2YUN6,GTEX-O5YT-0226-SM-32PK5,GTEX-18A6Q-0426-SM-731CC,GTEX-13111-0826-SM-5LZV3,GTEX-SNMC-1026-SM-4DM7K,GTEX-1HBPH-3226-SM-C1YRB,GTEX-1B8KZ-1326-SM-7DUG6,GTEX-SNMC-0426-SM-4DM5Y,,
GTEX-14PJ2-2126-SM-5YY96,GTEX-14PJ3-2026-SM-5ZZVK,GTEX-O5YT-0007-SM-32PK7,GTEX-139T4-0426-SM-5J1OQ,GTEX-13113-5016-SM-7EPIP,GTEX-1KD4Q-2926-SM-D3L9N,GTEX-1GN2E-0011-R8a-SM-CE6RK,GTEX-WY7C-0726-SM-4ONCB,GTEX-1NUQO-0626-SM-E6CQT,,
GTEX-14BMU-1026-SM-5RQJ5,GTEX-1JN6P-0526-SM-COH33,GTEX-1OJC4-0005-SM-DKPQ4,GTEX-1I1GR-0226-SM-CMKHQ,GTEX-1B8KE-2126-SM-73KYX,GTEX-1KD4Q-3026-SM-EV7A7,GTEX-OXRO-0011-R5A-SM-2I5EG,GTEX-1F75A-1626-SM-9JGGT,GTEX-16A39-1426-SM-6LLI6,,
GTEX-U412-1826-SM-4DXTJ,GTEX-11EM3-0626-SM-5H12Z,GTEX-14A6H-0006-SM-5NQ7W,GTEX-1I1GR-0426-SM-CM2TG,GTEX-S4Q7-0626-SM-4AD5M,GTEX-17HG3-0011-R10b-SM-7LT97,GTEX-ZLV1-0226-SM-4WWC1,GTEX-17F9E-1826-SM-7IGMC,GTEX-SNMC-1126-SM-4DM5M,,
GTEX-1F75I-1526-SM-7PBYJ,GTEX-U412-0326-SM-3DB9L,GTEX-1OJC4-0626-SM-DTXEY,GTEX-WHSE-2726-SM-EZ6ML,GTEX-1LVAM-0726-SM-E6CIL,GTEX-13PL6-3126-SM-5LUAR,GTEX-117YX-2026-SM-5GIEF,GTEX-1LG7Z-1426-SM-CXKYV,GTEX-1NSGN-1926-SM-E9J36,,
GTEX-1F75I-1626-SM-7RHI2,GTEX-11EM3-0426-SM-5N9BZ,GTEX-1OJC4-1726-SM-EXUSV,GTEX-WHSE-1626-SM-4M1XL,GTEX-XMD2-0126-SM-4YCDU,GTEX-17HG3-0011-R11b-SM-7KFT4,GTEX-ZZPT-2926-SM-5EQ5S,GTEX-147GR-1326-SM-7IGLB,GTEX-13PL7-2426-SM-5J2N3,,
GTEX-U412-2026-SM-4DXSI,GTEX-1LBAC-0326-SM-DIPF1,GTEX-NPJ8-0326-SM-2D7VV,GTEX-WK11-0926-SM-3NMAU,GTEX-REY6-1326-SM-48FDO,GTEX-17HG3-0011-R1a-SM-7LG6H,GTEX-1HFI6-0011-R8a-SM-ARZLP,GTEX-S4Q7-0726-SM-4AD5F,GTEX-SNOS-0726-SM-4DM5Z,,
GTEX-13G51-1026-SM-5K7YQ,GTEX-17KNJ-0626-SM-7LT9L,GTEX-NPJ8-0226-SM-48TBN,GTEX-1399U-1826-SM-5PNZ1,GTEX-1ICLY-0126-SM-D4P36,GTEX-T2IS-3026-SM-32QPM,GTEX-1GMR8-0011-R8a-SM-CKZNX,GTEX-147GR-2726-SM-664OO,GTEX-1OFPY-1126-SM-E8VNV,,
GTEX-1F75I-2026-SM-7SB7N,GTEX-1GTWX-0326-SM-9WYTP,GTEX-14A6H-2626-SM-5NQBO,GTEX-WK11-1126-SM-4OOSJ,GTEX-15SHU-1426-SM-6LPIN,GTEX-T2IS-2926-SM-32QPO,GTEX-14BIN-3126-SM-664NJ,GTEX-1LG7Z-1226-SM-DHXK4,GTEX-S95S-0626-SM-EZ6L8,,
GTEX-ZV68-0326-SM-59HJG,GTEX-1JN76-0326-SM-ARZNJ,GTEX-14PKV-0006-SM-9MQL3,GTEX-18A7A-0726-SM-7LTAI,GTEX-1A3MV-1926-SM-718BT,GTEX-13OW7-2926-SM-5MR3Z,GTEX-1GN2E-0011-R2a-SM-9WG7D,GTEX-S4Q7-0826-SM-4AD5E,GTEX-1PDJ9-2026-SM-E76PT,,
GTEX-1JN6P-2126-SM-ARL98,GTEX-17KNJ-0826-SM-793A4,GTEX-14ABY-0005-SM-5O99U,GTEX-1I1GP-0326-SM-CNPQ4,GTEX-XMD2-1326-SM-4YCET,GTEX-17HG3-0011-R4a-SM-7IGLL,GTEX-OXRN-2626-SM-48TBX,GTEX-PWCY-1026-SM-48TD4,GTEX-15SHU-1526-SM-7KUF5,,
GTEX-14BMU-1726-SM-5TDE8,GTEX-1H1DG-0826-SM-9QEIW,GTEX-O5YV-1526-SM-EV799,GTEX-18A7A-2626-SM-7LG6L,GTEX-XMD2-2126-SM-4YCF8,GTEX-17HG3-0011-R5a-SM-7DUEW,GTEX-11O72-3026-SM-5986R,GTEX-PWCY-0926-SM-48TD7,GTEX-S341-1426-SM-4AD6U,,
GTEX-13G51-2326-SM-5LZXV,GTEX-13FXS-0326-SM-5K7TV,GTEX-O5YW-0006-SM-3LK6E,GTEX-WOFM-1726-SM-3MJFA,GTEX-1N2DW-0226-SM-E9TK2,GTEX-13OW8-0011-R10a-SM-5L3H6,GTEX-1H3VE-0011-R6b-SM-A9G1M,GTEX-139YR-0226-SM-5IFEM,GTEX-15SB6-0826-SM-7KUMK,,
GTEX-13G51-2426-SM-5LZY8,GTEX-17GQL-1926-SM-718B9,GTEX-OHPN-0005-SM-2YUML,GTEX-WOFM-1626-SM-3MJFX,GTEX-1A3MV-1826-SM-731CD,GTEX-13OW8-0011-R11a-SM-5L3GT,GTEX-P44G-0011-R11A-SM-2I3FD,GTEX-17F9E-2226-SM-7IGNC,GTEX-13RTK-0626-SM-5Q5EK,,
GTEX-ZV6S-0726-SM-57WFY,GTEX-11EM3-2126-SM-5H11M,GTEX-1OFPY-0826-SM-DTX8P,GTEX-1I1GP-0726-SM-B2LVP,GTEX-1ICG6-2526-SM-CGQFZ,GTEX-13PVQ-0011-R3b-SM-5O9D6,GTEX-PW2O-0226-SM-48TC7,GTEX-14PJ3-1426-SM-664O8,GTEX-S3XE-0126-SM-4AD4R,,
GTEX-1JN6P-2526-SM-CNNPX,GTEX-PX3G-1826-SM-2S1PK,GTEX-14PQA-0006-SM-7PC2D,GTEX-1399T-0126-SM-5KM15,GTEX-1B8KZ-0326-SM-73KY4,GTEX-13PVQ-0011-R4a-SM-5O9CT,GTEX-14BIN-3326-SM-5Q5E6,GTEX-13QJC-0726-SM-5RQJK,GTEX-S3XE-0826-SM-4AD4U,,
GTEX-1H11D-2026-SM-A9G3C,GTEX-1RLM8-0226-SM-E6CJY,GTEX-1NV5F-2526-SM-EXUSK,GTEX-1I1GP-0926-SM-COH3O,GTEX-1LVA9-2626-SM-EVYD4,GTEX-1KANB-2126-SM-DHXJV,GTEX-PVOW-2726-SM-48TCA,GTEX-ZTPG-2626-SM-57WFX,GTEX-S3XE-1326-SM-4AD4H,,
GTEX-1H11D-1926-SM-9QEHN,GTEX-11EMC-0826-SM-59862,GTEX-148VI-0006-SM-5O9A6,GTEX-1399T-0526-SM-5J1NC,GTEX-1399U-2326-SM-5K7WY,GTEX-13OVJ-0011-R4b-SM-5P9H5,GTEX-NL3H-0011-R1a-SM-48TDJ,GTEX-14PJ2-1526-SM-686Z4,GTEX-15SDE-0926-SM-6LPIA,,
GTEX-ZV6S-1226-SM-59HLH,GTEX-1KANA-0926-SM-D3L9K,GTEX-OHPM-0526-SM-2YUMJ,GTEX-WOFM-0008-SM-4OOSY,GTEX-1ICG6-1926-SM-ARU7L,GTEX-1LC47-0011-R6b-SM-EZ6MI,GTEX-1H3VE-0011-R3a-SM-CE6SK,GTEX-1B8KZ-1226-SM-793CP,GTEX-S4P3-0526-SM-4AD58,,
GTEX-1JN6P-2626-SM-D4P3C,GTEX-13O3O-1426-SM-5KM2S,GTEX-1NV8Z-0005-SM-DKPQ3,GTEX-18A7A-1426-SM-731AP,GTEX-13VXT-1926-SM-5K7UO,GTEX-17F97-3026-SM-79OKC,GTEX-1F6IF-2926-SM-7MKGB,GTEX-1JMQJ-1326-SM-D4P3B,GTEX-13RTJ-1926-SM-5YYA2,,
GTEX-ZV6S-1526-SM-5NQ7O,GTEX-1JN6P-0826-SM-ARL97,GTEX-14PN4-1526-SM-6871V,GTEX-18A7A-1126-SM-7LT8O,GTEX-1B8KZ-0726-SM-7938W,GTEX-1LBAC-1826-SM-D3L9X,GTEX-1H1E6-1026-SM-9JGFZ,GTEX-Y5LM-0526-SM-4V6G3,GTEX-1PBJI-2326-SM-E6CP6,,
GTEX-1L5NE-1826-SM-EV79T,GTEX-1GMR2-1426-SM-7RHHK,GTEX-14PN4-1426-SM-6LLJ4,GTEX-1399T-2626-SM-5L3E4,GTEX-13113-1626-SM-5EQ4I,GTEX-17JCI-3126-SM-7LTA2,GTEX-14JIY-0011-R1a-SM-68713,GTEX-1S5VW-1826-SM-EAZ53,GTEX-15SHU-1126-SM-7KUMB,,
GTEX-1H11D-1426-SM-9MQKY,GTEX-1H1E6-2126-SM-9KNVM,GTEX-OHPM-0006-SM-2HMKU,GTEX-WOFL-0008-SM-4OOSZ,GTEX-WYJK-0526-SM-3NM8Z,GTEX-17JCI-3026-SM-7EWDR,GTEX-OXRO-0011-R2A-SM-3NB1W,GTEX-Y5LM-0426-SM-4VBRO,GTEX-1P4AB-2626-SM-DTXEU,,
GTEX-1S3DN-1926-SM-E6CIR,GTEX-14PJ4-1126-SM-5YY91,GTEX-148VI-1726-SM-5S2W9,GTEX-1I1GP-2826-SM-A9SKZ,GTEX-1N2DW-1426-SM-EV7AZ,GTEX-13OVJ-0011-R10b-SM-5L3HT,GTEX-1H3VE-0011-R2a-SM-CE6SA,GTEX-1B996-1426-SM-7EPIA,GTEX-13QJC-3326-SM-664OS,,
