,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14
ENSG00000253333,3.3886841625910367,28.581954883303375,5.445058527936521,15.203036032627434,16.00170411117425,11.203905479370091,19.05199313750789,12.662198410888085,5.38544250160405,10.214839714867475,56.64802254472837,3.8445475749299876,3.065856336988463,20.444670301924777
ENSG00000249437,7.239710389446862,39.23664994697938,640.996935523299,27.486688032258762,37.59361731953909,15.178092138676751,97.80571567373708,55.06893341697617,17.88205322362738,12.62383766745904,85.85552947315492,6.189646344626696,6.977000589544318,17.35739112352912
ENSG00000230847,24.314524442733187,219.1154633444294,35.334564380828475,141.43963373582858,152.9642542465329,122.39942962266709,147.42918256825888,157.0519267394204,53.230407209215095,53.61218565151812,586.5681641929955,14.878918640494316,26.412057959229745,49.89723289289017
ENSG00000251634,11.384889379395073,107.10491780321719,74.31886172934315,58.439640158747096,72.71383635342316,50.43936386331901,94.71800803704656,85.08777564461082,22.163367995327988,26.678083257029847,260.7825194058201,9.528638212420889,14.696598740250911,25.71566765739618
ENSG00000131711,907.6021375994582,2364.228739096366,232.1072283142771,2365.654673405405,420.3635194661561,909.9818015305874,7335.955536510374,12377.973012876555,1811.64328224978,3925.7929956942708,2180.3475417442196,324.54331590004114,317.62494908140803,7527.8800597421105
ENSG00000171617,209.18620829162828,1532.4370307236604,419.51267218540255,714.5921061758712,890.746271230896,357.28699312423174,355.69434121691677,347.43812338689975,381.174214969232,539.6056440365556,513.2734654248285,243.60235031026812,274.4851234293533,5425.251461194534
ENSG00000198780,26.363825292173164,227.06071997479842,26.5872507059805,92.62790980383738,122.49999561859022,18.74204357703363,18.57977076102929,25.476649533095628,47.0318269168358,29.266711410921342,269.2861771030902,19.716925170137603,18.85178375856617,360.43713890302973
ENSG00000113161,181.31731413312517,2301.1688464173367,484.07294271581225,826.2553678114467,3818.5185341958786,4433.839923417212,720.2305927865895,1176.4357060136158,268.6355947735651,1144.2941746770016,1840.372111008524,240.65418008962527,1921.574424173667,1099.7341255284016
ENSG00000181104,496.0211232602897,675.2852108203437,404.5912877084127,613.2358067671946,684.5095247603019,2484.782617943954,4076.9205498544807,4317.5208802357965,926.0963606694894,2210.0365612331616,2103.269699420814,135.42805724494863,192.2360474622091,71.92422960185174
ENSG00000164309,31254.62682978866,230.0072017986618,33.64407190559527,842.6157085784412,161.0106054143137,153.1467090726435,527.8609706277696,271.29246033640663,8299.512994691711,377.76292587495686,1036.61140286095,70044.35216528457,14.459732982876092,519.6366058868771
ENSG00000113296,5985.500780345825,329.55597413949494,106.84714442868848,1338.1122432508203,317.2439860552537,81.37790743567189,4302.7145700670335,8009.03871214768,921.2257168470795,575.975384825868,848.8882603321799,2074.3101935186583,27.70769952008934,655.380612668397
ENSG00000251050,63.653874814684336,316.69184493449245,14.424729640471186,155.86309032575656,123.72060542753306,11.284877492406991,91.35616509459564,196.58464134679716,40.93220396740243,79.20246093333685,589.4671405057717,62.44417293403918,16.6624239966543,190.59962218561384
ENSG00000271043,8.492225630918336,12.132882480363277,4.839231399991708,13.917808136330736,7.715881400441592,7.287932998426588,12.06872642381607,8.348599315216427,8.758080006186644,5.292366719366724,11.72041917779738,6.79442228598346,4.2059613046053235,19.921328179404448
ENSG00000131730,63752.418171554,158.2845953821647,135.45801105589283,679.0927486852155,218.071396626092,96.42675697990659,2470.4260479323725,1427.151402449476,21574.4638918951,523.7129098653729,598.0676094856649,17391.062691794534,24.379879941355348,761.310388891732
ENSG00000038427,394.56146380643895,392.61402852813194,3515.0608223607646,334.0416399807818,255.75935199691347,357.06248219838005,7909.59872336848,9214.614534459179,1860.1064215712365,4028.2017562836327,596.4408930814534,83.5339618082089,64.80989566955253,254.76862890000598
ENSG00000081189,1517.2964762885574,585.9175510784203,187.01265855229119,515.7356385147232,1430.2086713347212,131.27259278957516,3192.4991723290236,1728.9196820699003,455.12108029541474,361.0105692682866,1362.425350153098,3299.6958476939903,60.969344266825324,1095.1723021121738
