,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26
ENSG00000257009.1,1.0068794786078379,1.0009576551299428,1.0110991557949107,1.0076574736709,1.002962446431308,1.0036474645450622,1.0022078725779324,1.0043745562874664,1.0038154481334522,1.0068846387094954,1.0082129903398658,0.9998327329723613,1.0011776505215726,1.001128314537183,1.0034832265213451,1.0069642563693055,1.0017148466355499,78.32375947511576,1.0036538664226096,1.004744228405037,1.0109696598382434,1.0043421653012454,1.0019571873070707,1.0008058453912065,1.0022579851577629,1.0013904031160406
ENSG00000256234.1,1.0107904694371501,1.1437917202318815,1.0178136228005996,2.7980774226086207,1.0325883204225437,1.006934637827769,1.072695900980268,3.2747794821123017,3.9888878520845887,1.006955427162577,1.0058334284329957,1.275017636373645,1.0872197497864138,82.19914016540623,1.3032666167097369,2.1472460476309343,1.0218776521465192,1.9715919601376786,2.2448382933784896,1.0079326881908985,1.6425292525183572,1.0133289920294963,1.1822985777299029,1.2361250390535854,4.482491340912958,1.7872169296231044
ENSG00000258368.2,1.002744345421804,1.0044383858862247,1.005804850717585,1.0074925557342531,1.001461837314349,1.0019659878730944,1.0010226032199643,1.0026998594987122,1.0024511851897755,1.0022580344452032,1.0086376389208875,1.0009386084583802,0.9996116113020672,1.0010690488630993,1.0047706585420608,1.0070177196414203,1.000275071782979,142.01950560239976,1.0013032693471942,1.0057766499763865,1.0143999678947335,1.0014978412191209,1.0011673646254016,0.9994247988988476,1.0015289563853642,0.9987264138365844
ENSG00000180116.15,1.013335484924188,1.0197325641641102,1.0165712854009998,1.0325441104633568,1.0045197068276452,1.0097891944756485,1.0099967735387514,1.0149682626326848,1.0113021296300289,1.0051695420954312,1.0182492278830197,1.0024616245066513,1.0024663881747389,1.003132287887772,1.0144770981417957,1.0078365614715896,1.0085631761150367,77.13284105712003,1.013296964699787,1.0143994498551157,1.0507139652093966,1.006539762938209,1.6695066606344595,1.0039808565725605,1.0102331569088638,1.00345686454421
ENSG00000205592.13,215.48234266649422,167.49370678213043,1.0602998938512869,1.6823267579498682,1.1868986236829069,1.4593296014062138,1.1531510706615808,1.1892605330480934,1.0761848656552786,1.147074294941779,1.0337272494475147,2.211140928139606,1.0343714271133866,1.2538804874872271,1.2487795620016218,1.351817136534536,1.3012970212600252,88.2160252426709,1.269653607827994,1.137970556031982,1.1424695745115463,1.0436976647401286,1.2969591967259897,1.417565581004006,1.97662865338164,1.1070415108427374
ENSG00000258167.1,1.505598217148188,1.3294398103027645,1.0046881941327783,1.0154345007565397,1.0044977269283317,1.001945389677025,1.0048578286896606,1.00218186590314,1.0068902604716092,1.0016822474637754,1.0041273653567289,1.0063219321930605,1.0019966008354944,1.0017508946006939,1.009178000552427,1.0126219680085593,1.0027210075822026,72.65534421718546,1.0039404063348145,1.0038292945720306,1.0062721496471605,1.0016303589805013,1.0044776087948708,1.0035280170904815,1.0038324535813334,1.0004610523129733
ENSG00000258068.1,1.0020471704126022,1.0060985635550719,1.000613507475677,1.069093046319826,1.0025610547342418,1.0035887231333482,1.0114339481452452,1.004857487054661,1.0019792681846442,0.999375161502184,0.9995895290846215,1.0021778702829616,1.0024364393383525,1.0008464157574029,1.0028372218273645,1.023988307329276,0.9991334173436717,130.2989111042014,1.0021976611864132,1.0031578254428648,1.0093498141545914,1.0037982830855803,1.0022726918313418,1.0155889790051988,1.9980330543488316,1.0024968191881898
ENSG00000258331.1,1.0158231158656539,1.0283025117519584,1.0092342539455381,1.2571352655343864,1.0197298597586937,1.3716004605550862,1.0535845217081945,1.0122600480059754,1.0594602834072324,1.0131904089788455,1.005375593798853,1.1588857624563382,1.0078272524034089,1.0152414794154405,1.06629953546594,3.9084152320153422,1.012931099855006,1.0091002103142355,20.23979209240072,4.757563615944934,1.0587375944735495,1.0061414794728993,1.046248033854965,1.1015500248710002,61.16137124899593,1.0084995448620964
ENSG00000139209.15,2.581757673104701,2.4114222419874585,2.096961290868372,1.6256873003913834,3.8248798013187666,41.03358341767625,9.89391668542807,1.8940284504385412,16.96025442428894,1.6423298790442447,266.9498213905504,2.3310586411347693,21.555051297415396,2.120024562682418,51.98331970291995,8.532962365870132,4.280531930938081,2.504737727484129,1134.0429539034706,1.7656420972102072,15.687486605065994,2193.272952841674,30.956743964476924,1.9823339938154463,4.439549977345701,24.29886665458183
ENSG00000258116.1,1.0469626010289548,1.03620654223925,1.0297649129113888,3.9065995441602035,1.0381300769588435,1.0212465882901431,1.0424173679994508,51.42161742784826,1.7632906436657878,1.021411740891064,1.019239824814927,1.0315449821147824,1.0352763086998613,1.5272111959489443,1.0381123884040713,1.110121420775991,1.0215228202943292,14.406961813491293,1.1116610064989272,1.0477214739391143,1.196326616135033,1.0436990909149948,1.0191325398515405,3.492112602613702,1.4092741975314902,1.0258372001391343
ENSG00000187166.1,1.3720515337207848,2.2190837387897866,2.7783248137128176,4.289000748484822,2.038165357680639,3.60878738002798,6.58121440569315,38.27181752686779,2.0067059070588886,1.3857571316578339,3.3642490564216865,1.4600398026900385,1.2972341795036337,4.5530549802308995,2.7821828873373167,4.30757364920229,1.3272975644830787,8348.334222683921,49.39359222975036,5.610839823016617,23.105187735530297,1.559652672232115,1.4254888143224431,1.6401894016339102,2.8883467608393114,1.3719312182516477
ENSG00000167531.6,450.81505630759483,161.64479484141773,1.0118561289886723,9.192940610481022,7.5256271391759135,1.021468035003582,8.793708616046871,1.0491476045501595,18.380453041964714,1.0211973603530955,1.0086021380779249,61520.33593783404,1.0208463066319347,1.090195201177631,4.8479992968602215,1.0511243260177525,14.826342527722327,1112.6962211808898,2.2629369355770987,1.0123078183851935,138.85836526900098,41.57439556302801,1.0236994600330673,1.0369185618436576,14.922734196811813,1.8689427757701713
ENSG00000172602.9,9.909986608304312,20.55186543460113,630.8615136437057,23.715641097916745,16.141192329252327,164.52735873564376,918.5312552910541,3704.3765328433446,64.25698916071329,109.67716148283708,18.73598808555778,66.72480452279738,7.311113484247012,3476.2468311957114,59.396941458544596,55.976605501209846,81.53329744224935,26.226398861256772,1340.4779979039884,438.52228203188554,224.48219341874469,716.9630802035311,300.51753556385574,11.264511170120356,89.31078163906284,26.575748561105968
ENSG00000181418.7,7.9727186166184945,6.84158997431448,7.4986553305443975,6.839540060700343,14.91080107011442,7.0637345816079025,15.389139409041897,22742.645654365388,48.90668436487289,14.311664092843367,9351.727914773985,9.90290624343579,9.219122440839541,4.005863283393284,11.735809234148949,13.270007816827384,13.509445840578838,15.493316009727776,9.027791801372283,13.345091705329365,191.43023684052756,12.374037718306404,7.088870238938095,16.1654753191998,27.695624490705768,4.423863199043898
ENSG00000257771.5,1.0156599006894689,1.0285645371524228,1.0056517398901152,1.017942820091489,1.0101917945929235,1.0065164403744613,1.013155566109921,25.231138139412415,1.0062633271557757,1.0093028879806223,1.004852996539923,1.008009125195556,1.009046205675462,1.0124646817224443,1.0063397971751258,1.0117325961528854,1.0177672225203045,140.58470534766434,1.013971308403935,1.0070175131565953,1.022710494243025,1.0025805131489332,1.0076346054334657,1.0083212421562768,1.0126602546341124,1.008949424676332
ENSG00000167580.7,2.577158995353812,1.7913412966997455,2.123562467179063,2.4601886041887626,3.085254531482301,2.410214986275816,2.4656220330615906,2.7271791306640947,18.81145474456337,16.585465534761127,6.345077158841178,1.6407823992603394,1.52880314405145,2.24424478338961,2.13268033793193,6.940338486673505,5.216108748464499,12.007771962611866,4.019650357334618,1.9380383769670477,1771.191397620833,2.340324920208422,1.5284504045255531,3.7743707275492624,2.327436007253303,2.7280900256859413
ENSG00000161798.6,996.1207780675196,2658.7530113561356,337.693826332096,36.49297035984575,6.094830929334681,12410.1227253689,117.32032050452247,432.9662224440098,34.74985184068221,64.88926008719562,4.964933234035977,274.4441787020861,7.018491203282345,429.0711934178771,7.095773573360828,23.210140382991888,675.7718469991146,8577.515775286833,37.18385108240442,29.1582586878056,27.285475960734907,5.984819447175978,840.1581399463133,8.576019295963594,28.31649939903697,10.622323653231684
ENSG00000110934.10,8.081501040983401,13.382394526444154,49.62519724166432,876.0688729793143,44.82316821296727,81.49132890636628,120.22113390899311,303.8406354255919,52.004716867779,35.626622808807014,9.672123039067658,12.690128146023389,3.8611581320976374,609.5253040745873,113.05189305484028,468.6061336290959,17.86119044786588,247.43688982306557,551.9350736784118,17.666406115031652,70.02401376532134,42.4902559456137,71.35556559099508,9215.3893621423,2090.079632204667,12.956378589096014
ENSG00000257137.6,1.004928991670992,1.014143067175439,1.0078992237186941,1.0182903308368616,1.004336754620614,1.0024687573135953,1.0070162794245185,1.0093006533624873,1.0054758658575356,1.0023651761317578,1.0118776932855598,1.000677085650241,1.0022912512151825,1.0059453839206856,1.0100555297633727,1.0146026496508422,1.0047563364780205,196.84746108514756,1.0072614346075346,1.00581717063763,1.0151122088332223,1.0047900162658134,1.00377817814374,1.0048865438839576,1.004406785452766,1.0056711149669755
ENSG00000170442.11,24.189166342708656,11.924607568285563,4.269842408762735,16.663234661285674,11.235966711651075,55.882306212388286,67.70015895811858,59.75803076506788,11.55398002110996,9.91593898178417,14.698817633368012,11.371036190647494,9.660362107219655,23.38116222452195,3.508085140319532,19.668983517685668,13728.567867081185,158.59722683679303,179.3692525311082,7.780530503566328,12.619947012737335,4.25883289776173,249.92230980051988,26.573434278057697,60.08148451356065,23.27850681746134
ENSG00000205426.10,24.809197542103558,17.816530593920263,3.276875779129407,7.295150855039807,10.262405004574491,71.58353158945808,37.80415891010398,77.21670646766472,7.427954586751606,5.557212996821835,12.519456344400156,36.88056562545675,3.3551309938600653,18.36485456497508,4.4438987740525215,16.253167840282874,12662.552224702657,10.996181462515477,58.03455209353698,8.297895375915147,7.901233020724354,3.4322515260714126,270.84488798737885,8.737778598510284,33.80141062219497,4.362838936176781
ENSG00000170523.3,6.620025537806601,7.5776543697765835,2.358264878956062,2.6761304668097337,4.349280284439051,41.31425849640849,48.92492233048253,54.26458841746198,2.414862931272457,4.24242226899694,4.1404524200299555,3.597049117222617,2.0574242939459473,6.630363725030262,2.124000016949163,6.318403786616355,5136.278641058368,4.994173695073824,2.9410949098358183,2.4402887423806257,1.9115363095729931,2.1911570189872585,106.90550744356663,4.856600921272185,9.626069492172109,2.41188320677409
ENSG00000135443.8,21.269430843212533,17.469208771680087,4.45598434230983,6.189611362480904,13.081463996618679,227.59467506899017,5.448120417017864,20.16273486307053,7.217145671234312,11.136833680076277,11.12887330760261,7.962036620275159,4.610982619915286,25.496117359156347,4.769284860345794,10.711105985783318,21414.661388565102,36.96697303106913,7.341168757791601,6.079095419799333,4.473788716739284,4.8881485996624,510.1135503843102,16.071318525309376,26.394932627904183,5.953871340946921
