i_doc,doc,Topic 1
153,GTEX-11ZUS-0008-SM-5S2UO,1.0
154,GTEX-17HGU-0226-SM-7DHKV,1.0
155,GTEX-1GN1V-0126-SM-9WPOS,1.0
156,GTEX-16MTA-0008-SM-EAZC6,1.0
157,GTEX-1KANB-0526-SM-E6CJH,1.0
158,GTEX-WYVS-0008-SM-4ONDY,1.0
159,GTEX-13OVL-0126-SM-5L3GJ,1.0
160,GTEX-1211K-2026-SM-5EQ4Z,1.0
161,GTEX-1J1OQ-0126-SM-D4P2N,1.0
162,GTEX-1E2YA-0126-SM-9KNUC,1.0
163,GTEX-14BMU-1226-SM-5S2OR,1.0
164,GTEX-132AR-0008-SM-62LDH,1.0
165,GTEX-16A39-0008-SM-EAZC9,1.0
166,GTEX-18D9B-0526-SM-7LTAS,1.0
167,GTEX-X3Y1-0008-SM-4PR12,1.0
168,GTEX-1CB4J-0626-SM-7DHMP,1.0
169,GTEX-1CB4E-0926-SM-7EPHT,1.0
170,GTEX-1H4P4-2126-SM-9WYSL,1.0
171,GTEX-13JUV-2026-SM-5K7UA,1.0
172,GTEX-1HFI7-2326-SM-CGQFS,1.0
173,GTEX-1ICLZ-0326-SM-ARL82,1.0
174,GTEX-11NSD-0008-SM-5Q5BC,1.0
175,GTEX-117YX-2326-SM-5H12W,1.0
176,GTEX-1HUB1-0426-SM-E9U4U,1.0
177,GTEX-1AMFI-0008-SM-EVYAV,1.0
178,GTEX-1KAFJ-2026-SM-CY8ID,1.0
179,GTEX-1F6RS-0126-SM-9MQKZ,1.0
180,GTEX-18465-0126-SM-731BN,1.0
181,GTEX-1KWVE-1426-SM-E9TJO,1.0
182,GTEX-1122O-1026-SM-9WYSF,1.0
183,GTEX-ZE7O-0008-SM-4E3JQ,1.0
184,GTEX-ZZPU-0826-SM-5GZX5,1.0
185,GTEX-ZWKS-0126-SM-5SIAA,1.0
186,GTEX-132NY-0326-SM-5IJBL,1.0
187,GTEX-1F75I-0326-SM-9YFLU,1.0
188,GTEX-1IDJF-0126-SM-CM2RS,1.0
189,GTEX-XK95-0226-SM-4AT58,1.0
190,GTEX-OIZI-0008-SM-2XCFD,1.0
191,GTEX-1IY9M-2826-SM-ARU8H,1.0
192,GTEX-131XH-2226-SM-5DUXJ,1.0
193,GTEX-13X6I-0626-SM-5QGP9,1.0
194,GTEX-ZYFD-0626-SM-5E44E,1.0
195,GTEX-1GN2E-0426-SM-9MQKX,1.0
196,GTEX-12WSL-2526-SM-5GCNJ,1.0
197,GTEX-17F9E-0008-SM-EAZB5,1.0
198,GTEX-Y5LM-0926-SM-6LLJG,1.0
199,GTEX-1H3VE-0326-SM-9YFLH,1.0
200,GTEX-1GL5R-1526-SM-7MKHO,1.0
201,GTEX-1RLM8-0726-SM-E6CRH,1.0
202,GTEX-1GF9X-0726-SM-7SB7V,1.0
203,GTEX-P44H-1426-SM-E9U4O,1.0
204,GTEX-15UF7-0926-SM-6M46F,1.0
205,GTEX-12KS4-1026-SM-5FQTD,1.0
206,GTEX-1H3NZ-1326-SM-9JGHI,1.0
207,GTEX-13OW8-2326-SM-5L3I9,1.0
208,GTEX-1NV8Z-2026-SM-E8VMD,1.0
209,GTEX-1HBPM-1526-SM-A9G3H,1.0
