i_doc,doc,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10
267,GTEX-1PIIG-0926-SM-E6CQN,0.06130340070389218,0.10489450756382182,0.06684487469306316,0.04322389747063591,0.04066929722056725,0.019037565107390044,0.022699032849005516,0.0614923373263791,0.04872096805226717,0.5311141190129779
268,GTEX-11GSP-1726-SM-5A5LI,0.0845276917892896,0.12553139861708776,0.08822515252632873,0.07380791299693207,0.07939720994217414,0.02090615760816106,0.03903840289661831,0.06436438882774949,0.0641224212318668,0.36007926356379205
269,GTEX-Y9LG-0626-SM-4WWDH,0.07085670942052809,0.05742829140284281,0.19563026815177595,0.10955977835419345,0.0644117559033681,0.018388070290543228,0.00011170289587596965,0.05206248435984602,0.3790542212267995,0.05249671799422682
270,GTEX-S4Z8-0726-SM-4GICB,0.06811916626227281,0.09610031753472774,0.06210919258009241,0.08471586404887038,0.09685906432404909,0.022970645071746967,5.044642003903159e-05,0.03667377673314664,0.04633291688962643,0.48606861013542846
271,GTEX-ZVZP-1626-SM-5GIDJ,0.07368287320273349,0.10536485278305281,0.07339067603335511,0.08856032056704666,0.10186954512539224,0.026789893100379457,5.161519935127717e-05,0.04313594178270805,0.05233106893322857,0.4348232132727523
272,GTEX-17EVQ-1926-SM-7IGOF,0.08925436351012886,0.060975797421617094,0.20964307689212627,0.12186468502581131,0.07198229986229362,0.019273818675587834,0.007435197603959637,0.07219899299022843,0.3346634772501073,0.012708290768139795
273,GTEX-1R9PM-1126-SM-E76OX,0.09317634750503748,0.13763334462381754,0.10495473221642232,0.0740331959280502,0.07921263587240177,0.028662787234006972,6.430168789972101e-05,0.07443927050971454,0.07365230659129443,0.3341710778313549
274,GTEX-1JMQJ-1026-SM-CNPP8,0.03223330620004425,0.06356560154548231,0.038577948082642116,0.025483723767774375,0.023362716837579935,0.018525024660875494,0.020561049533951884,0.032551657630057934,0.024297710219246985,0.7208412615223447
275,GTEX-1H11D-2126-SM-9OSXM,0.0781833156052676,0.05337688200076074,0.18187858104334323,0.1313730510725309,0.06583400888795699,0.02462080099239567,6.144353231680552e-05,0.06553502163720695,0.3873698900623213,0.011767005165899975
276,GTEX-P4PQ-0726-SM-3NMCR,0.04617272930680687,0.07676561475845077,0.04762183503300723,0.06366300788249,0.06951485865816909,0.02975762673229567,0.00034954673174307613,0.029242214955503443,0.03261671031243275,0.6042958556291012
277,GTEX-WHWD-0926-SM-4OORY,0.1124681116577482,0.06766946362901684,0.14347689045439624,0.13217595909961077,0.10149872037209916,0.019859807832066857,0.00042297720139186553,0.07393572690061453,0.32760135119801603,0.020890991655039513
278,GTEX-11EMC-2226-SM-5A5JW,0.11338444241537451,0.08773978285973395,0.19668190315641437,0.12149935013696103,0.07635954997166564,0.02653141465034956,0.02642745251558437,0.08058606706326696,0.25620585955051883,0.014584177680130707
279,GTEX-18D9A-0326-SM-7LT8L,0.037570932553417036,0.07194894327922148,0.04014431466427709,0.04796462729734626,0.045475531758774244,0.04338916810858671,7.864473552856134e-05,0.0258749017631836,0.02481916851539539,0.6627337673242696
280,GTEX-WYVS-1026-SM-4SOJW,0.0363292041833514,0.07372919678142788,0.04350105312222896,0.028562230344494382,0.02729093560636767,0.0312125607977181,5.24910414822116e-05,0.03448836991502696,0.0266076611625594,0.698226297045343
281,GTEX-O5YV-1026-SM-3LK72,0.09849283495275511,0.06806433268517467,0.20945461036288188,0.11789652790823396,0.07684837055257535,0.019244246497172934,0.0012144457131181973,0.07260023708098189,0.3243083623666506,0.011876031880455435
282,GTEX-1LGOU-0526-SM-D3LAO,0.07426360208721347,0.08987128994360415,0.12399098500115413,0.10017833227599036,0.07478996618154117,0.03748382784166165,5.589930408845812e-05,0.05091957529972549,0.16496783671515433,0.28347868534986675
283,GTEX-PSDG-1326-SM-48TD2,0.10451957442371897,0.07629676425731556,0.1728473925760251,0.13335237191789232,0.08784984364306248,0.024458382351593675,0.00011779019022290109,0.07922381563048923,0.30862774704865564,0.012706317961024241
