,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26,Topic 27,Topic 28,Topic 29,Topic 30,Topic 31,Topic 32,Topic 33
ENSG00000254449,2.9806938686136895,2.727708997270401,2.375128319108162,2.3128335398065176,2.297058493939377,5.440309227893491,1.8530332242502547,7.408949047530667,2.516764977170367,2.3380116674908393,3.056225718960887,2.704207153643442,1.9989291299013892,2.1057646576280247,2.5710159460791573,2.732943799956348,2.4949138385510397,2.3148489125088627,2.6222126359068407,2.2061391380693958,1.8897510899472352,2.1718186513182802,3.1609263752419845,2.555447769057794,2.1201796650305793,1.9640103678914818,2.42841811454989,1.9149141062759263,2.275217285051862,2.685321857235622,2.5071043505049015,2.4983345331240536,2.859130180588779
ENSG00000134049,577.277601506936,442.49835970212337,371.0348007208895,572.5142558376108,579.0014586590955,1349.336247296933,37.10196026965079,461.5007344461544,281.643759941052,475.7050739437065,579.9168283864853,447.6480409996835,50.67310238380554,51.023020483822336,669.7884576253957,279.6197489049191,409.7020696365699,326.5113405815527,501.9946037065491,464.685676160523,596.3814860962601,386.75633070023616,84.03857239264637,443.45800594497115,457.7420398238355,402.03962611111746,504.59160697243306,410.19717265195254,461.939001731026,625.6829909247238,747.5602873610077,745.0717612922701,578.961749852182
ENSG00000081148,5.816492290802128,7.519577826941837,6.352960873870678,6.772203351674219,6.030771815216313,11.275488347080469,2.2755337436695364,8.999873235984102,5.323110263935928,7.2185600171707875,6.7335821654041235,5.186149063341629,2.947938945535964,3.1183404257400724,6.553931709614555,7.379503583054802,5.906110999456145,10.018566552980367,7.592751745380311,5.390422753025301,23.384344955413724,6.697680850263733,4.53705959323403,6.678046818537587,5.677932363541598,5.441902836791523,6.471667206475504,7.463452180425067,6.074197808569648,6.467557829038593,5.575641111090776,5.300803802101687,5.429209350179002
ENSG00000230196,2.1237588271385377,2.0947128472964227,2.2066735498764714,1.570045877608304,1.8300989610150478,1.3449727928876887,1.0131242113667849,1.3314245484140261,2.08254864658545,2.822313111245232,2.470694269299061,2.003982753550635,1.021653879071027,1.0241908619232467,2.827686377500127,2.912028325458473,1.95852758141955,1.6430772541123844,2.9127389241079022,2.2781072664409,1.2695748007328187,3.5205218416542037,1.1542867040286204,2.465018368299613,1.697718750370257,1.6190331889630571,4.103484072254632,1.923142496680811,2.595209811131957,1.6360795508217127,2.3334078972594443,5.069067134102354,1.5732145345691082
ENSG00000281097,5.615528987173109,3.158692893024874,5.094048937980575,4.401917496435795,15.76957974749863,1.1675019732873717,1.603529669399567,2.0606644877783706,20.605422646370453,3.1067365517131416,3.5819330049600557,8.701623561709454,1.5952671497092776,1.7199962045309218,2.4083278453194543,1.9059691710608306,2.7701051796851366,1.8527567057853902,2.3933987186811816,5.262977228114914,2.371115713404337,3.0064567334127865,2.1781039782102116,2.865566262462541,69.14250873530423,17.000991364102475,1.7775431051259336,2.2197208364002785,3.96161502589869,4.3354481425997164,7.4386107127687495,3.699044002226629,3.817646646883373
ENSG00000229622,1.7658148414368033,1.6051400321456775,1.6957872945399117,1.6362250640835796,1.7410543898671618,1.7067161403959754,2.3932111334889408,1.439779480732157,1.8388353893307603,1.6160484703111648,1.7770177930179367,1.87773614548283,2.7261377299742087,2.7867868267229934,1.5991201770026207,1.673847942661029,1.5308722737455458,1.3349043595002263,1.686946910755162,1.685695107402737,1.4312197402280098,1.7000328183205258,3.0332776641418566,1.774910704793628,1.8394992352911526,1.8090050664085602,1.776106134670681,1.4812538313359123,1.7705575884970377,2.2269736995376377,1.7391434823443035,1.9631536327798857,1.569956156602868
ENSG00000178171,12.622651559645053,14.387731246503206,10.353878544996567,4.236438081973393,3.35646575775236,9.870245059164326,1.4223256872577146,383.41235031175205,8.323260085975624,5.507207380744174,10.086861701793818,17.988481174477382,1.5637547184001117,1.6280520799015756,7.474071949000865,9.479734442686269,5.40514537240462,6.5267899940224,6.494202114106495,5.625600386515491,2.158859784526498,2.7373108315760604,4.486647167628644,6.909298518761351,8.51747917241356,5.9775618398776995,4.942969861096306,2.8313372717642618,8.205624207345522,6.55267240664754,10.190640259430268,2.982172333751785,6.5646436903807945
ENSG00000132481,821.6158682013378,1523.5884037934288,1405.6958537229036,1174.100575411555,729.6993754523669,810.961403257223,53.02657891911439,1553.1613997408087,1444.1071470035417,2002.5600683927114,1193.2254804849488,1422.6745304535593,71.88958578766979,55.8015602003908,1505.505546313246,1349.0521539180754,1069.4340035778112,3551.250275019136,1737.0929783834954,1755.6015055191426,8659.363002920583,1435.9068655601166,141.44270523888608,1220.156743959144,1403.0413379325976,1636.903335287676,1064.9677065881547,2498.2534844279417,1378.070776968643,1286.1109051942015,998.3127038959431,1795.8321373717488,746.9768235390807
ENSG00000158470,972.1273558939689,923.2787296908838,746.2105165961443,2034.9478481196227,926.4123654649824,3476.6067600990996,1039.9428308378347,972.1553021220702,1002.7056061740464,975.7905426106427,791.363028888922,635.22347762025,1313.1678899756116,2014.2703802349997,1097.8017119048895,934.9070284318474,846.0307762181934,895.7001561800396,1015.752104118257,782.9450994780716,2438.9250999420447,627.0879935889865,1627.6266568087767,734.8335252483565,867.2310786969908,686.6154799982198,965.1403525901164,1166.0614712428328,760.4224001383433,1125.7139035010637,959.2183681114975,853.4601991760635,1712.3905897946652
ENSG00000201511,1.2191522940481994,1.2801447879899184,1.2138986691111626,1.1366382277559883,1.163352384391008,1.128716346205927,1.0039716245431476,1.6766427360168075,1.190630644867687,1.2875956428710542,1.2464103132028708,1.162357662879361,1.0074170639914495,1.0060325667911076,1.2756762293851092,1.3142579890603998,1.2096140960212245,1.401754204138339,1.2664683393610128,1.2421319836271194,1.4347311325436833,1.3258623755727947,1.0597777021956105,1.3146819423547988,1.130831242073715,1.1584689854723178,1.398254986086549,1.2999697213562469,1.2510882241894172,1.416915905966127,1.1949551732489512,1.299719245470334,1.1559011345750927
ENSG00000263528,182.70145649710253,105.56598806432638,142.3531167983569,83.74128894009726,425.6206024048555,15.20723320807143,251.67158532529365,187.67383990319317,229.5089551895997,62.543093225432386,243.70056062511216,354.84397602438565,335.91438409142836,232.46141640619967,77.18019549602124,78.89828968658836,61.016543492440185,44.668981549004485,100.33426529236627,123.05783619332925,42.81516501977139,104.87122452868374,393.3711377350042,201.81530963492253,422.91607428517113,203.0239891194773,81.91572400528113,33.639088336885116,224.10159593353663,618.423110505546,340.2225962967427,190.54101368974267,65.0588687761774
ENSG00000253416,1.1481016613800377,1.1971514048936585,1.1665458458204494,1.2313748439203123,1.1232816375309582,1.2346763486497567,1.0181345124137515,1.4434636739495659,1.1346956895901488,1.2053733382839003,1.1593414746658315,1.1269157209778495,1.0238377727080579,1.02862090989927,1.1890232669890288,1.2248108125315367,1.1981905620022513,1.214651780997523,1.1916189894901699,1.1708050081380683,1.1919648823252114,1.1943336185351647,1.070327933258833,1.1757083331161255,1.0918293066792462,1.123999915888159,1.2133665936575544,1.2134115451934488,1.1519064122093825,1.13543465500603,1.1375675992894705,1.1726061888434793,1.1845358441299456
ENSG00000161609,13.506803833135342,10.975610756537547,10.935408841918669,3.0404138017692532,3.557774589781279,5.702833869361849,1.6760511702248684,162.5225774834311,7.49571759889218,5.622556878141852,8.865685471584586,23.756209294415534,1.8415523910971543,1.7798576925730403,6.221647183705235,8.306354287063527,3.618319310970386,6.281066487249341,4.337565214983308,3.772349589418984,2.193128899585338,3.106033374866931,3.631113542100556,8.99226890563599,6.0408881093234585,5.097927393969104,3.719182638853565,2.834257287821065,7.049154551217272,5.211368990790381,11.697224689499068,2.6399873845763673,5.79110354482981
ENSG00000225570,1.1174114690098975,1.118139869703944,1.1075221174291014,1.047281139565367,1.037222586083205,1.0584288411102107,1.008378032920756,1.876774237759978,1.0889156410797374,1.0520166976634289,1.0897783108677053,1.1331439234883458,1.0064778366154015,1.0150455156417126,1.0681537491948934,1.0728103016436712,1.046044757893434,1.0571096328277187,1.05410984819962,1.0620939746581581,1.0350536928221004,1.03756696065227,1.0458942794725554,1.0736299003735368,1.0703496304483318,1.066184505129694,1.04507216115825,1.0398750217096038,1.0734591973754193,1.047565786221305,1.0746168690466942,1.0295211986173702,1.0772302678589007
ENSG00000271503,208.06440502682818,78.97828997134692,205.94187020655312,63.137261029239276,593.7774376053874,49.55401906684795,11503.072648207144,341.91919632225455,339.3077717808647,129.95455591522278,365.74767735607645,183.18821482258585,9901.0594200185,11885.008584049561,194.41462541913154,347.5969548757761,117.0019121360049,93.39345936036159,217.86421999977338,198.29196030910828,64.91453070508639,342.2952641802271,6573.449273395616,399.1445472070289,161.4092104789689,200.70359971218508,174.6777671520302,102.29390522406439,148.508508810979,2152.11730131249,181.8310492720511,310.7130125933775,103.173792643091
ENSG00000259388,1.8189139535895547,1.884844718224274,1.7781873297246726,1.9417752703593756,1.7974853485939253,1.7406278507775732,1.3089992334130756,1.4917895330487871,1.7697481655634801,1.8095789364611163,1.8672841171607193,1.6788705180075671,1.3776404601738839,1.4068766189649593,1.8197502754379402,1.8914490150797771,1.9831891389917558,1.692745577788777,1.884726065660687,1.8586443663914705,1.8757583755031355,1.9296054315827853,1.8692893693226325,2.030804723890422,1.657132398212133,1.8515477730936618,1.9240390774514318,1.9048801061622613,1.7133767512999543,1.904763774845145,1.8053340703584784,1.896819170612839,1.7991698852703393
ENSG00000275877,1.068509048694545,1.0769233892995445,1.057544422352974,1.061188580100157,1.0434322591828746,1.0367500179224183,1.0027586255235976,1.165758679935297,1.0638815150096788,1.0792089265632447,1.1049211530948386,1.0502028507238186,1.0000998713783582,1.0000198400245428,1.092689215629376,1.098431295034655,1.0614329053439302,1.0296479397567013,1.0851238452871073,1.0627623635332573,1.005325788710967,1.0791799662121764,1.0156826535304162,1.0914559628359355,1.0542815850416125,1.048181525920833,1.0700310498043322,1.0564895466410145,1.0703189227705043,1.0332833094069527,1.0759945319140285,1.0953364567477932,1.0803994551426843
ENSG00000222426,1.1310113831637951,1.164558872864921,1.1471764458721152,1.1275631412741955,1.1384864401189771,1.171244196639166,1.0528537155530813,1.0371691505362466,1.1511010079271626,1.1966821635439562,1.1456189349990693,1.0951970141103962,1.0856538834269875,1.070028374603132,1.16818746605968,1.1910721607686328,1.1267296541953642,1.2579016509496763,1.16251166878267,1.1684483737170195,1.1210481997873787,1.1626838513624902,1.0704366357491875,1.1578406468259266,1.2127234650861536,1.1268937017712441,1.1500197665285001,1.1909139290757955,1.1540853696496742,1.2739720781161294,1.1307789331158813,1.1572283958767393,1.144784970670127
ENSG00000184617,4.31062902481438,3.899882003888705,3.8052121284520064,2.1791619143708463,3.15526876430336,1.9917681988474776,1.0597228758797477,9.355450578881257,4.07146865615928,4.060411942528653,6.7808387014306915,4.121380715917939,1.0764260635845657,1.0684944950435786,4.456072066107393,4.726270717675038,2.9821688582532895,2.4188972731786986,5.63423026805828,4.0457041482691425,2.5404604113389833,4.817514511500019,1.4671209103986953,5.591309246659684,3.3200374115969886,2.81037432305181,5.676454393712959,2.795594309362457,4.598878273776932,4.496475163197249,4.444502075651307,7.247069088891946,2.2264552222157903
ENSG00000179044,132.4125671730663,88.94645237843801,99.52396137515342,88.19927994292156,109.77961234374938,133.97793116902753,5.368394848606383,56.739862560481,151.15494000232331,139.18408581829422,225.10612043686896,106.8252965484053,6.315491211801578,7.709169538871171,157.98222776689119,170.04275098495248,114.66249286237651,42.28279262756829,192.87333901135509,114.71515421029399,39.14947017807708,249.39168801043792,15.794883711469312,231.8187390602447,86.77434586588629,76.87724834844286,369.5887667602852,67.76193778632376,128.30415540812606,178.91064237975854,197.54959171372076,562.071746770323,73.41988792166872
ENSG00000212366,1.0261464516470624,1.0223850186329684,1.0311219839334764,1.0154429846597455,1.012753512369893,1.001905763488883,0.9980012560725929,1.1516767363524607,1.0249010356622896,1.0134791418663136,1.0279449599115154,1.0931370822729454,0.9988381019823294,1.0015172987019911,1.0155180779047253,1.019857345829401,1.0080196328982367,1.0145946146352602,1.0079801741827727,1.0171693520623775,1.0047035250224405,1.0108344809774505,1.004809978864697,1.0202898129949503,1.0260793976653786,1.0275786275068706,1.0063985848736676,1.011876722820933,1.0198024529019292,1.0093701478853396,1.0216493628386956,1.0071491243182729,1.01996119629607
ENSG00000253678,13.778739680739832,17.067222010120094,15.348698691468035,6.146070744095628,5.31875353644924,8.51415769653397,2.541599341017538,90.91065126732097,12.669227510502008,12.242520274009893,14.968545887628403,18.440469753067102,3.59181557173035,3.1941998153672886,13.197265358289675,11.367681250644543,6.985180809138453,16.979447914331484,11.533483129812526,8.51142769014292,10.177623233028022,10.13902835719596,5.556521967913776,14.161997673469788,8.455751482262347,8.951603463408077,11.899207360065521,4.87065468584792,15.594953062748216,7.132295697188204,15.270732677555303,10.440869911354264,10.062605942222293
ENSG00000176101,3086.2765497555774,2225.800629562316,2253.349657618325,2229.4854179481154,2668.048516986221,6302.6000573912115,687.1614040995859,3665.083209061548,2360.962232956806,1715.18135651541,2401.7265044729115,3351.1274965526613,1351.6912981407293,1313.405508416847,2119.409175140195,2407.2411533056365,2297.306582449567,2443.8126501449256,1948.098840333355,2019.8506059175,6373.969256266374,2245.5743487765976,1461.687794515336,1354.2554885093498,2699.847015164732,1767.4320938906055,2678.0681664606896,1607.918372901089,2821.9332875368445,3183.021132758629,3602.529765370656,2103.421877549401,2719.7806023377802
ENSG00000088386,61.347260010909,29.92714009477898,134.8398044021277,39.392454716108595,76.54124397238209,3.2509451935187337,2.7463000391577728,22.743635097523168,261.56533777623395,12.946671485008245,42.275537304497746,683.166230672005,3.414840962493833,2.743508546452019,13.537160958613306,8.717494431278112,23.435846575660534,11.014854207652697,17.48718306850644,96.78574744463191,11.539077606314683,21.7288514260672,4.98778720489719,34.85489432496899,333.17745312081087,412.829491157539,19.442357839731535,17.12006137960369,80.70469996321417,279.1798494521745,152.24649429567265,41.49787767936232,18.458787646701616
ENSG00000279954,7.728424452305247,7.534528126859527,9.443193388847845,6.678347320419144,5.023926788667757,6.456435719512221,1.2793457531861037,10.237993968830285,12.917224006425009,7.006965504381887,7.611866453031864,16.831508500106295,1.3985314409835436,1.2318766489079698,6.783218475959556,6.244617941179217,5.857673868884418,10.015404116212254,8.565788925708876,11.093278732710756,9.50281011212605,8.52978118979575,1.8985847566587657,8.804212192502515,11.172734228136502,15.523913289456779,7.296879797479425,8.148899101771608,10.762730964032308,5.1024270701892815,11.751311875473506,6.772744490695329,5.075754486461241
