Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11
ENSG00000198851.9,ENSG00000118520.14,ENSG00000110680.12,ENSG00000226490.1,,,,,,,
ENSG00000132746.14,ENSG00000168314.17,ENSG00000124920.13,ENSG00000273409.2,,,,,,,
ENSG00000211947.2,ENSG00000145879.10,ENSG00000162040.6,ENSG00000050730.15,,,,,,,
ENSG00000211937.3,ENSG00000171236.9,ENSG00000210140.1,ENSG00000244361.1,,,,,,,
ENSG00000100448.3,ENSG00000173535.13,ENSG00000070526.14,ENSG00000266248.1,,,,,,,
ENSG00000224650.2,ENSG00000158517.13,ENSG00000170523.3,ENSG00000278971.1,,,,,,,
ENSG00000131042.14,ENSG00000130294.15,ENSG00000005001.9,ENSG00000250244.5,,,,,,,
ENSG00000211943.2,ENSG00000143217.8,ENSG00000163623.9,ENSG00000162723.9,,,,,,,
ENSG00000268903.1,ENSG00000167754.12,ENSG00000196611.4,ENSG00000203857.9,,,,,,,
ENSG00000159763.3,ENSG00000111404.6,ENSG00000129451.11,ENSG00000206069.6,,,,,,,
ENSG00000175564.12,ENSG00000186844.5,ENSG00000117152.13,ENSG00000283538.1,,,,,,,
ENSG00000159339.13,ENSG00000111913.17,ENSG00000133317.14,ENSG00000230778.1,,,,,,,
ENSG00000211935.3,ENSG00000107485.15,ENSG00000163202.4,ENSG00000170099.5,,,,,,,
ENSG00000211669.2,ENSG00000204538.3,ENSG00000242076.2,ENSG00000167580.7,,,,,,,
ENSG00000235568.6,ENSG00000166922.8,ENSG00000188089.13,ENSG00000168959.14,,,,,,,
ENSG00000105352.10,ENSG00000268751.1,ENSG00000226145.7,ENSG00000232679.1,,,,,,,
ENSG00000211640.4,ENSG00000172543.7,ENSG00000171124.12,ENSG00000159495.7,,,,,,,
ENSG00000222037.5,ENSG00000182591.5,ENSG00000157782.9,ENSG00000207296.1,,,,,,,
ENSG00000241294.1,ENSG00000140379.7,ENSG00000186207.4,ENSG00000171234.13,,,,,,,
ENSG00000156738.17,ENSG00000183347.14,ENSG00000229314.5,ENSG00000250981.1,,,,,,,
ENSG00000211904.2,ENSG00000169877.9,ENSG00000157765.11,ENSG00000180264.11,,,,,,,
ENSG00000243238.1,ENSG00000253230.8,ENSG00000152977.9,ENSG00000168955.3,,,,,,,
ENSG00000239855.1,ENSG00000174992.7,ENSG00000187173.3,ENSG00000172752.14,,,,,,,
ENSG00000240864.3,ENSG00000064787.13,ENSG00000213578.5,ENSG00000213606.3,,,,,,,
ENSG00000244575.3,ENSG00000139899.10,ENSG00000103888.16,ENSG00000228826.2,,,,,,,
ENSG00000211637.2,ENSG00000197561.6,ENSG00000163630.10,ENSG00000284552.1,,,,,,,
ENSG00000178821.12,ENSG00000136286.14,ENSG00000110786.17,ENSG00000225960.1,,,,,,,
ENSG00000211638.2,ENSG00000170091.10,ENSG00000132872.11,ENSG00000250329.1,,,,,,,
ENSG00000211898.7,ENSG00000172508.10,ENSG00000086570.12,ENSG00000207497.1,,,,,,,
ENSG00000211941.3,ENSG00000130957.4,ENSG00000124140.13,ENSG00000253325.1,,,,,,,
ENSG00000115085.13,ENSG00000147588.6,ENSG00000165023.6,ENSG00000214145.6,,,,,,,
ENSG00000105501.12,ENSG00000152154.10,ENSG00000154165.4,ENSG00000139330.5,,,,,,,
ENSG00000248996.1,ENSG00000104722.13,ENSG00000073670.13,ENSG00000152034.10,,,,,,,
ENSG00000171049.8,ENSG00000212901.3,ENSG00000171446.6,ENSG00000243543.8,,,,,,,
ENSG00000211962.2,ENSG00000166523.7,ENSG00000105509.10,ENSG00000253877.5,,,,,,,
ENSG00000103313.12,ENSG00000135443.8,ENSG00000111215.11,ENSG00000183273.6,,,,,,,
ENSG00000211965.4,ENSG00000168280.16,ENSG00000137673.8,ENSG00000272396.1,,,,,,,
ENSG00000211674.2,ENSG00000127084.17,ENSG00000243566.6,ENSG00000260823.1,,,,,,,
ENSG00000196344.11,ENSG00000205076.4,ENSG00000125571.9,ENSG00000089116.3,,,,,,,
ENSG00000211905.1,ENSG00000167476.10,ENSG00000140465.13,ENSG00000128610.11,,,,,,,
ENSG00000101307.15,ENSG00000163380.15,ENSG00000101916.11,ENSG00000251061.2,,,,,,,
ENSG00000211652.2,ENSG00000198643.6,ENSG00000110777.11,ENSG00000263366.2,,,,,,,
ENSG00000213934.6,ENSG00000124429.17,ENSG00000174607.10,ENSG00000277738.1,,,,,,,
ENSG00000105610.4,ENSG00000204539.3,ENSG00000203783.4,ENSG00000248197.1,,,,,,,
ENSG00000213931.5,ENSG00000277586.2,ENSG00000186474.15,ENSG00000171136.6,,,,,,,
ENSG00000234262.1,ENSG00000108602.17,ENSG00000211967.3,ENSG00000122859.4,,,,,,,
ENSG00000271178.1,ENSG00000113749.7,ENSG00000172155.9,ENSG00000147570.9,,,,,,,
ENSG00000250026.5,ENSG00000198794.11,ENSG00000257335.8,ENSG00000145192.12,,,,,,,
ENSG00000276566.1,ENSG00000187180.3,ENSG00000251039.2,ENSG00000257126.5,,,,,,,
ENSG00000242534.2,ENSG00000162188.5,ENSG00000169397.3,ENSG00000214617.9,,,,,,,
ENSG00000211654.2,ENSG00000164821.4,ENSG00000141837.19,ENSG00000204195.3,,,,,,,
ENSG00000241566.1,ENSG00000183379.8,ENSG00000134827.7,ENSG00000253448.1,,,,,,,
ENSG00000233999.3,ENSG00000171951.4,ENSG00000210195.2,ENSG00000270168.2,,,,,,,
ENSG00000206072.12,ENSG00000182782.7,ENSG00000261678.2,ENSG00000235118.7,,,,,,,
ENSG00000211710.3,ENSG00000196407.11,ENSG00000161911.11,ENSG00000258035.1,,,,,,,
ENSG00000236525.1,ENSG00000124507.10,ENSG00000283227.1,ENSG00000266553.2,,,,,,,
ENSG00000258831.1,ENSG00000189280.3,ENSG00000105613.9,ENSG00000168348.3,,,,,,,
