i_doc,doc,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26,Topic 27,Topic 28,Topic 29
914,GTEX-Y5V6-0826-SM-4VBRU,0.0001249381438178803,0.00041085688292805367,0.00014264865241164158,0.00012730805011551452,0.00015607332903546736,0.00018088349473348788,0.00017554593738024505,0.00019270395713263792,0.018639496505832593,0.03071824105402676,0.0001408090324626812,0.0007974411657873516,8.335624002896412e-05,0.000301120562169708,0.0002930822186873713,0.8677636415572226,0.0001312930410511451,0.0005288834480012656,0.00160816466274551,0.00017865231713847917,0.00043228063636290123,0.07116564462731804,0.003972986385265437,0.0001350828510881332,0.00028576572451684994,0.0005510868988418746,0.00016035095749799248,0.0004689102339110399,0.00013275143248832707
915,GTEX-Y8DK-0011-R8B-SM-EYYVQ,5.819872186417097e-05,0.8062306385666961,0.0015462334257726053,5.236162094641717e-05,0.0014384238428996438,0.001227895772080612,0.0010898552352128672,0.0012954501483534175,0.000746536155594738,4.1712809204859095e-05,0.001529158077049486,8.318087449355606e-05,5.285164135445578e-05,0.00010621783894662005,0.00010727885190280997,4.458621808164436e-05,0.0017141346493604246,0.00011614268953705381,5.1760714632977387e-05,0.0010106305273314747,0.00016118486626595332,0.0003512243256668437,0.0008289983787494163,0.001679863997517453,0.0013032618046325368,0.17514566392224643,4.4365006165088994e-05,0.0003102439317207545,0.0016319453857196423
916,GTEX-Y8E4-1126-SM-5IFIA,0.006889948132246834,0.0018777296107554968,0.0002029839995883381,0.01026459742791802,0.00024520243111828606,0.0004913212054278711,0.00043244865326653385,0.0003463089976672057,0.00474191703274232,0.00012344310492203763,0.000211740085433055,0.011942604334546766,0.10119146546948637,0.0011302056231579983,0.03743167415159541,0.00020016072703884615,0.00016860411846804312,0.002151538638479271,0.00024380793718313092,0.0004493595149377684,0.02146455645396839,0.0003215089551303297,0.7883351470555272,0.0001800414164773054,0.002253059505688213,0.0034789870884314408,0.0006354757627448817,0.002405379566511415,0.0001887829995416228
917,GTEX-Y8E4-2426-SM-4WWDN,0.38471282301634396,0.0004883899467334649,2.1427176104359234e-05,4.039372880054571e-05,2.2116343174391647e-05,2.531755925062122e-05,2.4286233550305913e-05,2.3890944806989392e-05,0.0004158804512271098,2.0073615348652308e-05,2.166402119984491e-05,0.00023927509429608545,0.5959535876376643,0.00014676875494838327,0.0066306525783263095,2.4267688583723427e-05,2.1173269340341336e-05,6.546623043730323e-05,2.9087673198185203e-05,2.5030797883956007e-05,0.001256315320702634,0.00010341927518291116,0.0015357126441623184,2.125056075325588e-05,7.837814246716967e-05,0.0016989196037519954,0.00015636572863012672,0.006176795368777949,2.127059435278813e-05
918,GTEX-Y9LG-0626-SM-4WWDH,0.000641816737539382,1.2316126485055374e-05,5.841046905891137e-06,0.0023213723476688338,6.116345848030997e-06,8.416212553772572e-06,7.70106452579053e-06,7.18116207120077e-06,5.248071848992665e-05,5.0065388610271945e-06,5.838513822611528e-06,0.00011306440634051343,0.0002861105732782984,2.3815337322131492e-05,0.00021499087891718626,5.346024439177853e-06,5.58436094125934e-06,0.00012677293469669102,5.40388922979868e-06,7.477229210497748e-06,7.552721483208265e-05,9.47312021722356e-06,0.00010916809265447652,5.645721429007832e-06,1.570889604483087e-05,7.062146413697888e-06,0.9958150343333751,9.408097628930456e-05,5.6470495971339385e-06
919,GTEX-Y9LG-1226-SM-4VBQA,0.00041471650059827814,0.00028673160527677616,4.431546665804049e-05,0.0002132826158009033,5.611442295117006e-05,0.00017628587135729747,0.00022883333154156242,0.00015357318898274683,0.006552899381116731,5.4495568375536156e-05,4.539350752106483e-05,0.33296805948631847,0.005881028595404932,0.0018218888163896456,0.013039276859158034,5.431426428358714e-05,3.9905347973026395e-05,0.151619502746377,9.567466178796244e-05,0.0003948575446676336,0.34340405208972635,0.0003476285931977887,0.02433670876510414,4.056779282932897e-05,0.000642226510510805,0.00017807226265169733,0.0006311010640904699,0.11623763052448816,4.086261486081376e-05
920,GTEX-YB5E-0005-SM-4VDSO,7.711532809707931e-05,9.092376987400126e-06,0.053433550442899824,6.146638520825509e-06,0.05756992292616376,0.06227380324122665,0.07861773393107446,0.060679897579268186,0.00037454481912012485,4.635952923274057e-06,0.0539910022849418,0.14294099706396363,0.0023519904191897857,9.438255650110207e-06,0.002333996541356802,3.5390058338292374e-06,0.05329043059812419,0.21016599142110798,3.8031243291245944e-06,0.0642044027178265,0.00018669304250231515,4.949984652024215e-06,4.763608947636575e-05,0.049555114799496425,0.053377733464729654,5.385179409934977e-06,0.0001634327836681421,1.826936650666434e-05,0.05429875062095315
921,GTEX-YB5E-2426-SM-5IFIV,0.0017881114587069132,0.0007856242278792122,0.00322012967581153,0.0012193753165934409,0.003658418224260751,0.005382927243791403,0.005356716884366222,0.004720797349874483,0.007404472380854403,0.0001695107030255278,0.0033345051355918743,0.027218681784300522,0.07740806878139134,0.00177457451504741,0.01887844304101573,0.0001690782414701089,0.002862158030618569,0.009089209229319512,0.0004175670879926513,0.005127541316569251,0.024933953779867374,0.000394923833216909,0.7136661847004028,0.002941669408847516,0.010260058589854676,0.0017920030657696394,0.0006600544165963341,0.06226735071182158,0.0030978908651426787
922,GTEX-YB5K-0726-SM-5LU8R,0.0027673271049025454,0.014701559064561552,0.00037286697489334104,0.0018289080200517744,0.00042987229974095155,0.000773220130956168,0.0007275995741588161,0.0006100834669247248,0.040324592730352604,0.00055799393430042,0.0003823575093352091,0.0498993815855022,0.11234064984353685,0.004715739207036732,0.03434015772154513,0.000268470980973429,0.00033216990987577574,0.01647875412250319,0.0017738874631398405,0.0007902478866171004,0.03814340953748284,0.00266577261563922,0.12962770112611627,0.00034066575384276407,0.0024532052333592074,0.03968812465205917,0.02026079273217452,0.482058711093165,0.0003457777252525219
923,GTEX-YEC4-0008-SM-4W1YR,5.0402324805695994e-05,4.857272479979303e-05,5.134840865111743e-05,0.00037544486745303194,5.151460837357434e-05,5.21420350216783e-05,5.202585240016599e-05,5.2378349347317146e-05,0.0002650115367393924,5.322394810682299e-05,5.1375690697190355e-05,6.323815277593857e-05,4.753391227228323e-05,0.00013424843588197844,6.873938229713986e-05,5.167212109318744e-05,5.111130406970861e-05,5.81331079897038e-05,5.40147177497721e-05,5.2490536970682356e-05,0.0002099894366120625,7.728375933687066e-05,0.0004333234976415443,5.118218033000828e-05,5.380431742166713e-05,7.790251693349129e-05,6.379765292586233e-05,0.9972969002172247,5.119440407763932e-05
