i_doc,doc,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8
73,GTEX-1269C-0226-SM-5EGKS,0.0173368,0.0105647,0.0332931,941.928,0.0160503,0.0245798,0.013169899999999998,58.1153
74,GTEX-12BJ1-0008-SM-5TDBZ,0.0173368,0.0105647,0.0332931,0.030206900000000002,0.0160503,1000.02,0.013169899999999998,0.012999200000000002
75,GTEX-12KS4-0326-SM-5EQ41,0.0173368,0.0105647,0.0332931,0.030206900000000002,0.0160503,0.0245798,1000.01,0.012999200000000002
76,GTEX-12KS4-1026-SM-5FQTD,0.0173368,0.0105647,636.061,122.06200000000001,0.0160503,0.0245798,121.07600000000001,120.89
77,GTEX-12WSA-0726-SM-5FQU2,777.836,0.0105647,0.0332931,87.5502,0.0160503,0.0245798,0.013169899999999998,134.675
78,GTEX-12WSC-0011-R9a-SM-5GU4U,0.0173368,0.0105647,0.0332931,0.030206900000000002,1000.02,0.0245798,0.013169899999999998,0.012999200000000002
79,GTEX-12WSD-0226-SM-59HKO,0.0173368,0.0105647,714.26,46.1994,0.0160503,0.0245798,0.013169899999999998,239.61700000000002
80,GTEX-12WSD-0526-SM-5EQ6F,1000.02,0.0105647,0.0332931,0.030206900000000002,0.0160503,0.0245798,0.013169899999999998,0.012999200000000002
81,GTEX-12WSF-1526-SM-6PAN6,0.0173368,0.0105647,495.83,0.030206900000000002,0.0160503,504.228,0.013169899999999998,0.012999200000000002
82,GTEX-12WSF-1626-SM-7KUG5,0.0173368,0.0105647,0.0332931,0.030206900000000002,0.0160503,0.0245798,772.301,227.725
83,GTEX-12WSG-1226-SM-5EQ4C,452.88699999999994,0.0105647,418.476,85.1112,43.6231,0.0245798,0.013169899999999998,0.012999200000000002
84,GTEX-12WSH-0005-SM-5NQ9P,0.0173368,1000.01,0.0332931,0.030206900000000002,0.0160503,0.0245798,0.013169899999999998,0.012999200000000002
85,GTEX-12WSJ-1826-SM-5GCNY,0.0173368,0.0105647,0.0332931,0.030206900000000002,0.0160503,0.0245798,1000.01,0.012999200000000002
86,GTEX-12WSL-1626-SM-5GCMU,20.3689,0.0105647,926.148,0.030206900000000002,0.0160503,0.0245798,0.013169899999999998,53.5471
87,GTEX-12WSL-2526-SM-5GCNJ,0.0173368,0.0105647,0.0332931,0.030206900000000002,0.0160503,214.375,785.663,0.012999200000000002
88,GTEX-12WSM-0011-R11a-SM-5DUX8,0.0173368,0.0105647,0.0332931,0.030206900000000002,827.18,0.0245798,0.013169899999999998,172.85
89,GTEX-12WSM-0526-SM-5GCO8,0.0173368,0.0105647,1000.03,0.030206900000000002,0.0160503,0.0245798,0.013169899999999998,0.012999200000000002
90,GTEX-12ZZW-2426-SM-5DUWE,0.0173368,0.0105647,970.2180000000001,0.030206900000000002,29.8316,0.0245798,0.013169899999999998,0.012999200000000002
91,GTEX-12ZZX-0011-R10b-SM-5DUWK,0.0173368,0.0105647,0.0332931,0.030206900000000002,1000.02,0.0245798,0.013169899999999998,0.012999200000000002
92,GTEX-12ZZX-0326-SM-5DUVH,1000.02,0.0105647,0.0332931,0.030206900000000002,0.0160503,0.0245798,0.013169899999999998,0.012999200000000002
93,GTEX-12ZZZ-0526-SM-5DUX6,0.0173368,0.0105647,627.1759999999999,0.030206900000000002,0.0160503,110.04,0.013169899999999998,262.85400000000004
94,GTEX-12ZZZ-2426-SM-5GCNN,0.0173368,0.0105647,817.6339999999999,154.708,27.7375,0.0245798,0.013169899999999998,0.012999200000000002
95,GTEX-1313W-0011-R7b-SM-5DUWL,0.0173368,0.0105647,0.0332931,0.030206900000000002,1000.02,0.0245798,0.013169899999999998,0.012999200000000002
96,GTEX-1313W-0726-SM-5EGK1,0.0173368,0.0105647,0.0332931,1000.03,0.0160503,0.0245798,0.013169899999999998,0.012999200000000002
97,GTEX-131XE-0006-SM-5P9F9,0.0173368,1000.01,0.0332931,0.030206900000000002,0.0160503,0.0245798,0.013169899999999998,0.012999200000000002
98,GTEX-131XE-0526-SM-5K7YT,390.37300000000005,0.0105647,270.447,164.90900000000002,19.6117,154.781,0.013169899999999998,0.012999200000000002
99,GTEX-131XG-0006-SM-5O9CE,0.0173368,1000.01,0.0332931,0.030206900000000002,0.0160503,0.0245798,0.013169899999999998,0.012999200000000002
100,GTEX-131XG-0226-SM-5IFG1,0.0173368,0.0105647,0.0332931,913.812,0.0160503,0.0245798,0.013169899999999998,86.2315
101,GTEX-131XH-0006-SM-5O98V,0.0173368,1000.01,0.0332931,0.030206900000000002,0.0160503,0.0245798,0.013169899999999998,0.012999200000000002
102,GTEX-131XH-2226-SM-5DUXJ,0.0173368,0.0105647,0.0332931,0.030206900000000002,0.0160503,0.0245798,1000.01,0.012999200000000002
103,GTEX-131YS-2926-SM-5EGKI,0.0173368,0.0105647,710.138,243.408,46.534,0.0245798,0.013169899999999998,0.012999200000000002
104,GTEX-131YS-3126-SM-5KLYT,0.0173368,0.0105647,0.0332931,0.030206900000000002,1000.02,0.0245798,0.013169899999999998,0.012999200000000002
105,GTEX-132AR-0008-SM-62LDH,0.0173368,0.0105647,0.0332931,0.030206900000000002,0.0160503,1000.02,0.013169899999999998,0.012999200000000002
106,GTEX-132AR-1126-SM-5P9GA,0.0173368,0.0105647,0.0332931,917.217,0.0160503,82.8383,0.013169899999999998,0.012999200000000002
107,GTEX-132AR-1926-SM-5EGK5,385.144,0.0105647,314.834,141.965,41.0857,117.09299999999999,0.013169899999999998,0.012999200000000002
