,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5
ENSG00000154007.6,7.792864577195832e-05,0.0,0.0,0.0,0.0
ENSG00000225605.2,1.1364594175077256e-05,0.0,0.0,0.0,0.0
ENSG00000230027.1,0.0,0.0,0.0,0.00016910147600081622,0.0
ENSG00000282898.1,9.402848751998443e-06,0.0,0.0,0.0,0.0
ENSG00000231364.2,7.305810541121093e-06,0.0,0.0,0.0,0.0
ENSG00000016490.15,0.000559503323940857,0.0,0.0,0.0,0.0
ENSG00000016602.9,0.0019102665173214679,0.0,0.0,0.0,0.0
ENSG00000153923.10,0.0,0.0,0.0,0.0,5.279657817834458e-06
ENSG00000227290.1,2.3338005895247936e-05,0.0,0.0,0.0,0.0
ENSG00000213512.1,2.5637983287823094e-05,0.0,0.0,0.0,0.0
ENSG00000154451.14,0.0002599650917548922,0.0,0.0,0.0,0.0
ENSG00000183347.14,0.0,0.0,0.0,0.0,0.0019581873727932443
ENSG00000228504.1,0.00011513416241655648,0.0,0.0,0.0,0.0
ENSG00000230434.1,1.190576532627141e-05,0.0,0.0,0.0,0.0
ENSG00000231671.1,8.79403120690502e-06,0.0,0.0,0.0,0.0
ENSG00000162699.5,5.682297087538628e-06,0.0,0.0,0.0,0.0
ENSG00000240038.6,0.0018116380750163332,0.0,0.0,0.0,0.0
ENSG00000243480.7,0.0,0.00474981659641799,0.0,0.0,0.0
ENSG00000237763.9,0.0,1.5875055469311463e-06,0.0,0.0,0.0
ENSG00000234441.1,0.0,1.7929474412398828e-05,0.0,0.0,0.0
ENSG00000174876.16,0.0,1.867653584624878e-05,0.0,0.0,0.0
ENSG00000227408.1,0.0,3.987440403174115e-05,0.0,0.0,0.0
ENSG00000187733.6,0.0,3.1750110938622927e-06,0.0,0.0,0.0
ENSG00000230768.7,1.2108704507969218e-05,0.0,0.0,0.0,0.0
ENSG00000233047.6,4.194076421754701e-06,0.0,0.0,0.0,0.0
ENSG00000203897.3,0.00026848853738620015,0.0,0.0,0.0,0.0
ENSG00000179902.12,0.0,0.0,0.0,0.007590672400371834,0.0
ENSG00000186150.4,0.00027146497871776803,0.0,0.0,0.0,0.0
ENSG00000143125.5,0.0005444858244952192,0.0,0.0,0.0,0.0
ENSG00000143119.12,0.0,0.006016646022869045,0.0,0.0,0.0
ENSG00000203878.11,5.885236269236436e-06,0.0,0.0,0.0,0.0
ENSG00000134216.18,0.00030873814175626544,0.0,0.0,0.0,0.0
ENSG00000237556.1,4.3293692095532404e-06,0.0,0.0,0.0,0.0
ENSG00000261595.1,1.2649875659163375e-05,0.0,0.0,0.0,0.0
ENSG00000231128.5,0.0,0.0,0.0,0.00012753463273804574,0.0
ENSG00000116748.21,0.0,0.0,0.0077363871729385705,0.0,0.0
ENSG00000134200.3,0.00592737997263568,0.0,0.0,0.0,0.0
ENSG00000235202.1,9.605787933696252e-06,0.0,0.0,0.0,0.0
ENSG00000236866.5,1.0620483842185293e-05,0.0,0.0,0.0,0.0
ENSG00000203859.9,0.0020571268384767818,0.0,0.0,0.0,0.0
ENSG00000134240.11,0.001457982727710953,0.0,0.0,0.0,0.0
ENSG00000134193.14,0.0001260928782282381,0.0,0.0,0.0,0.0
ENSG00000228826.2,0.0,0.0,7.37842402707078e-05,0.0,0.0
ENSG00000168509.19,0.0,0.0,0.008149871133267487,0.0,0.0
ENSG00000283342.1,3.991137240056894e-06,0.0,0.0,0.0,0.0
ENSG00000121634.5,1.3326339598156068e-05,0.0,0.0,0.0,0.0
ENSG00000238107.1,4.194076421754701e-06,0.0,0.0,0.0,0.0
ENSG00000143369.14,0.0,0.0,0.0,0.0,0.007559621478703935
ENSG00000163157.14,0.0,0.0,0.0,0.0,0.0012863509154738097
ENSG00000229021.2,1.1094008599480178e-05,0.0,0.0,0.0,0.0
ENSG00000182898.3,0.0,0.0,0.0,0.0,1.2539187317356838e-05
ENSG00000159450.12,0.0,0.0,0.0,0.0,0.0007523512390414102
ENSG00000143631.10,0.0,0.0,0.0,0.0,0.0028536550505395245
ENSG00000143520.6,0.0,0.0,0.0,0.0,0.0050037014172487175
ENSG00000163202.4,0.0,0.0,0.0,0.0,0.0011428573583533803
ENSG00000244057.4,0.0,0.0,0.0,0.0,4.054022967265744e-06
ENSG00000185962.1,0.0,0.0,0.0,0.0,4.035167046487764e-05
ENSG00000187223.3,0.0,0.0,0.0,0.0,0.0010442408926845438
ENSG00000187180.3,0.0,0.0,0.0,0.0,0.0017975349277648532
ENSG00000159455.8,0.0,0.0,0.0,0.0,0.0038778143875955193
ENSG00000198854.5,0.0,0.0,0.0,0.0,0.00493450018799353
ENSG00000203786.6,0.0,0.0,0.0,0.0,0.0034519534168248366
ENSG00000240386.3,0.0,0.0,0.0,0.0,0.000867843753806539
ENSG00000172155.9,0.0,0.0,0.0,0.0,0.000725010153913339
ENSG00000197084.5,0.0,0.0,0.0,0.0,0.00412473267018317
ENSG00000196734.8,0.0,0.0,0.0,0.0,0.0016240604566074351
ENSG00000186844.5,0.0,0.0,0.0,0.0,0.0022937284830374023
ENSG00000235942.2,0.0,0.0,0.0,0.0,0.0010531974550540843
ENSG00000163206.5,0.001696571558993676,0.0,0.0,0.0,0.0
ENSG00000184148.3,0.0,0.0,0.006268007737848247,0.0,0.0
ENSG00000163216.6,0.0,0.0,0.0,0.0,0.006171260031821252
ENSG00000241794.1,0.0,0.0,0.0,0.0,0.017317466201704802
ENSG00000244094.1,0.0,0.0,0.0,0.0,0.0017554862244299572
ENSG00000229035.2,0.0,0.0,0.0,0.0,0.0013134091617902112
ENSG00000159516.8,0.0,0.0,0.0,0.0,0.0056489510262712
ENSG00000229699.1,7.035224965524015e-06,0.0,0.0,0.0,0.0
ENSG00000203784.2,0.0021004205305723144,0.0,0.0,0.0,0.0
ENSG00000203783.4,0.0,0.0,0.0,0.0,0.0008913193751751244
ENSG00000163221.8,0.0,0.011497742380346905,0.0,0.0,0.0
ENSG00000184330.11,0.0,0.0,0.0,0.0,5.213662095111527e-05
ENSG00000143556.8,0.0,0.0,0.0,0.0,0.011356921084577478
ENSG00000188015.9,0.0,0.0,0.0,0.0,0.0013148233558485597
ENSG00000196754.10,0.0,0.0,0.0,0.0,0.007597521879467674
ENSG00000163467.11,0.0009390672401096576,0.0,0.0,0.0,0.0
ENSG00000132702.12,0.0017126714007417022,0.0,0.0,0.0,0.0
ENSG00000163518.10,3.382319694963469e-06,0.0,0.0,0.0,0.0
ENSG00000160856.20,9.761374639664572e-05,0.0,0.0,0.0,0.0
ENSG00000227217.1,0.0,0.0,0.0,0.00014453925043645186,0.0
ENSG00000132704.15,0.00013793099716061027,0.0,0.0,0.0,0.0
ENSG00000163534.14,0.00010992539008631274,0.0,0.0,0.0,0.0
ENSG00000073754.5,0.0,0.0,0.0,0.006284150940544299,0.0
ENSG00000163563.7,0.0,0.004871120696739376,0.0,0.0,0.0
ENSG00000231100.1,4.126430027855432e-06,0.0,0.0,0.0,0.0
ENSG00000132703.3,0.0013885098811764033,0.0,0.0,0.0,0.0
