i_doc,doc,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8
34,GTEX-11GSP-1726-SM-5A5LI,0.302070274116491,0.0399823806458171,0.2564632534815166,0.030495036085792702,0.3349710297157185,0.0002371836140006099,0.0,0.035780842340663435
35,GTEX-11I78-0001-SM-5Q5BE,0.30518376885489695,0.01869555980454642,0.01237518589335033,0.11921074994688761,0.5310441895049925,0.01349054599532611,0.0,0.0
36,GTEX-11LCK-0926-SM-5A5KA,0.3472178228275789,0.2264808362369338,0.15246542075810368,0.012934220251293422,0.25852602681870973,0.0004751346214760849,0.0,0.0019005384859043396
37,GTEX-11NSD-0008-SM-5Q5BC,0.3692749549329341,0.013077087598154543,0.06981575972379235,0.02395429130129243,0.5222279935225641,0.001649912921262489,0.0,0.0
38,GTEX-11NSD-1626-SM-5986U,0.296160483175151,0.07143370721886684,0.22950819672131148,0.0409117054932413,0.35893011216566006,0.0028041415012942193,0.0,0.0002516537244751222
39,GTEX-11NV4-0526-SM-5N9BF,0.24156740509851943,0.0658799955471446,0.38149838583991985,0.013781587442947791,0.2937771345875543,0.0003116998775464767,0.0029611488366915284,0.00022264276967605477
40,GTEX-11OF3-2526-SM-5P9JL,0.2782010997643362,0.10278868813825609,0.4104084838963079,0.007894736842105263,0.19890023566378634,0.00039277297721916735,0.0,0.0014139827179890023
41,GTEX-11ONC-0126-SM-5PNW6,0.29949196984595217,0.13815142576204523,0.12479514913143232,0.01483120288430023,0.22935103244837757,8.194034742707309e-05,0.0,0.19329727958046541
42,GTEX-11ONC-2026-SM-5HL61,0.27149739957244506,0.035831658211288725,0.32203822468970356,0.024568456654222904,0.3315146293991896,0.0012124692894291823,0.0,0.013337162183721005
43,GTEX-11P7K-1226-SM-5HL4X,0.21827475713341132,0.02741467880575759,0.45702151467371954,0.01777630842785209,0.2789278266619195,0.0005340521845277453,0.0,5.086211281216622e-05
