i_doc,doc,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5
96,GTEX-1GL5R-1026-SM-7P8U1,0.769023524773,0.0721513996583,0.00604547246682,0.13898015508,0.0137994480221
97,GTEX-14E7W-0126-SM-6LLJ9,0.0359188038949,0.020967490363,0.0412219523608,0.00127008177544,0.900621671606
98,GTEX-XGQ4-1326-SM-4GIDU,0.668110857331,0.18188168625,0.00485059690598,0.133564089885,0.011592769628
99,GTEX-1HBPN-2326-SM-9WPPU,0.231507510279,0.576434924897,0.024733573886,0.000587396156751,0.166736594781
100,GTEX-1122O-1626-SM-5N9CX,0.281003251277,0.164421737111,0.442638179285,0.00232234091965,0.109614491407
101,GTEX-1H2FU-0011-R4a-SM-CL551,0.885997945909,0.0647038685382,0.00136939404314,0.0280725778843,0.0198562136255
102,GTEX-1JKYR-0626-SM-ARL8R,0.0271115745568,0.0119568995481,0.0758660641872,0.00118178658325,0.883883675125
103,GTEX-1RAZA-0926-SM-E6CQ8,0.481277846241,0.25556924827,0.138212152811,0.00255948431131,0.122381268367
104,GTEX-1IDJE-1026-SM-ADEIE,0.178491411501,0.247386109037,0.0690814040329,0.00354742345034,0.501493651979
105,GTEX-117YW-2626-SM-5GZZH,0.0296299050133,0.00908972619291,0.0433667304868,0.00232354964031,0.915590088667
106,GTEX-1I1GV-0011-R1a-SM-CL559,0.863517060367,0.0568678915136,0.00437445319335,0.0457859434237,0.0294546515019
107,GTEX-11NUK-1426-SM-5HL68,0.364614867138,0.199966363942,0.0630676084763,0.00706357214934,0.365287588295
108,GTEX-1RAZS-1226-SM-E8VMT,0.218898419224,0.38321400723,0.0908768696392,0.00871907563621,0.29829162827
109,GTEX-13O3Q-0011-R7a-SM-5KM38,0.910327847609,0.0193080212518,0.022547622133,0.0259168070494,0.0218997019567
110,GTEX-147GR-2726-SM-664OO,0.356856126266,0.601663473527,0.0129702277773,0.013624061065,0.0148861113645
111,GTEX-11ONC-1926-SM-5GU75,0.538908246225,0.14099883856,0.174448315912,0.0332171893148,0.112427409988
112,GTEX-1RB15-1026-SM-E9U6V,0.925129125449,0.0437786337506,0.00327555516648,0.018756018559,0.0090606670752
113,GTEX-YB5E-2026-SM-5IFIS,0.0222981563891,0.0162110616656,0.0585664335664,0.00046090273363,0.902463445645
114,GTEX-1LSVX-0726-SM-E9TJG,0.649221949222,0.24095004095,0.00606060606061,0.0435708435708,0.0601965601966
115,GTEX-1GMRU-0011-R7b-SM-A96TJ,0.905899280576,0.0374100719424,0.00575539568345,0.0261870503597,0.0247482014388
116,GTEX-13FTW-0726-SM-9WG72,0.232277182585,0.217688625484,0.07864144062,0.00319124686574,0.468201504445
117,GTEX-14BIN-3326-SM-5Q5E6,0.809389046113,0.0190610953887,0.0126519061095,0.136757116697,0.0221408356917
118,GTEX-1QMI2-2626-SM-E6CR4,0.35310324826,0.450841067285,0.103393271462,0.0265371229698,0.0661252900232
119,GTEX-1JMPY-1326-SM-ARL8Y,0.0205258488588,0.0102830873458,0.0625655294782,0.000564561658198,0.906060972659
120,GTEX-18465-0926-SM-731AY,0.0310029644269,0.00247035573123,0.0691699604743,0.000617588932806,0.896739130435
121,GTEX-1AX9K-0326-SM-7DHM9,0.527300380228,0.245019011407,0.0597718631179,0.00365019011407,0.164258555133
122,GTEX-1LGRB-2526-SM-CNPPQ,0.0309445096157,0.00833599943123,0.0616579574135,0.000515445593829,0.898546087946
123,GTEX-WFG8-0826-SM-4LVN5,0.40153698367,0.33679154659,0.0687800192123,0.00422670509126,0.188664745437
